Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,ESTIMATED_DIAMETER,SNR,POSITION_Z_UM,POSITION_X_UM,POSITION_Y_UM
Cent_1a,284,0,35.68464660644531,346.0,130.0,0.0,0.0,0,5.0,1,-10921639,76.19225449515906,74.0,20.0,170.0,55087.0,20.957557579604913,10.896500771455079,10.896500771455079,1.0903704675287216,0.0,62.3349448,23.420644
Cent_1a,54,0,45.45446014404297,349.0,127.0,0.0,1.0,1,5.0,1,-10921639,78.3222683264177,76.0,19.0,156.0,56627.0,22.775184273025857,8.883578464827373,8.883578464827373,1.0569063000369583,0.0,62.875421200000005,22.8801676
Cent_1a,520,0,43.187400817871094,349.0,127.0,0.0,2.0,2,5.0,1,-10921639,77.4688796680498,75.0,18.0,174.0,56010.0,22.427354247641716,10.92034486644482,10.92034486644482,1.0777787135765893,0.0,62.875421200000005,22.8801676
Cent_1a,116,0,38.6023063659668,353.0,127.0,0.0,3.0,3,5.0,1,-10921639,76.55463347164591,75.0,23.0,170.0,55349.0,22.69472805322398,11.199452431781507,11.199452431781507,1.0035233067947746,0.0,63.5960564,22.8801676
Cent_1a,346,0,41.267974853515625,358.0,131.0,0.0,4.0,4,5.0,1,-10921639,77.7551867219917,76.0,23.0,162.0,56217.0,21.845074878971165,11.018094222064473,11.018094222064473,1.113604752118349,0.0,64.4968504,23.6008028
Cent_1a,436,0,42.353302001953125,364.0,130.0,1.0,5.0,5,5.0,1,-10921639,80.19502074688796,77.0,34.0,161.0,57981.0,21.21096715209538,12.931010329972404,12.931010329972404,1.0692307001573504,0.5,65.5778032,23.420644
Cent_1a,584,0,40.20780563354492,365.0,130.0,0.0,6.0,6,5.0,1,-10921639,77.2116182572614,76.0,16.0,167.0,55824.0,21.75093917820214,11.010155309489498,11.010155309489498,1.1069688363813446,0.0,65.757962,23.420644
Cent_1a,195,0,47.98942947387695,367.0,129.0,0.0,7.0,7,5.0,1,-10921639,76.61134163208852,73.0,20.0,187.0,55390.0,24.41877788290158,9.201742271989026,9.201742271989026,0.9778718961407958,0.0,66.11827960000001,23.240485200000002
Cent_1a,1277,0,47.53499221801758,373.0,127.0,0.0,8.0,8,5.0,1,-10921639,75.3609958506224,73.0,18.0,191.0,54486.0,23.139848832545514,10.976218738326775,10.976218738326775,1.004013732768724,0.0,67.1992324,22.8801676
Cent_1a,1188,0,45.23503112792969,372.0,125.0,0.0,9.0,9,5.0,1,-10921639,75.52973720608576,73.0,19.0,168.0,54608.0,24.044974902771013,5.15226176018271,5.15226176018271,0.9375939435520199,0.0,67.0190736,22.51985
Cent_1a,935,0,47.07844924926758,377.0,126.0,0.0,10.0,10,5.0,1,-10921639,75.73167358229598,74.0,19.0,168.0,54754.0,22.95696155934727,11.051306382253642,11.051306382253642,1.0088478411575446,0.0,67.9198676,22.700008800000003
Cent_1a,846,0,47.3456916809082,376.0,126.0,0.0,11.0,11,5.0,1,-10921639,75.74688796680498,74.0,17.0,178.0,54765.0,23.21257541074111,11.050217259264617,11.050217259264617,0.9990760625965247,0.0,67.7397088,22.700008800000003
Cent_1a,757,0,46.315521240234375,376.0,126.0,0.0,12.0,12,5.0,1,-10921639,76.68464730290457,74.0,19.0,156.0,55443.0,22.610213280233534,10.989457685390256,10.989457685390256,1.0469515293090141,0.0,67.7397088,22.700008800000003
Cent_1a,677,0,49.44023513793945,375.0,126.0,0.0,13.0,13,5.0,1,-10921639,76.56569847856154,73.0,14.0,168.0,55357.0,23.468244275318554,10.961768905731992,10.961768905731992,1.0274819474504109,0.0,67.55955,22.700008800000003
Cent_1a,1016,0,46.631317138671875,373.0,128.0,0.0,14.0,14,5.0,1,-10921639,76.49792531120332,75.0,16.0,162.0,55308.0,23.38598044902718,11.000330654125607,11.000330654125607,0.9943076287778319,0.0,67.1992324,23.0603264
Cent_1a,1103,0,42.58838653564453,376.0,128.0,0.0,15.0,15,5.0,1,-10921639,78.06777316735823,76.0,24.0,144.0,56443.0,21.487601240813508,10.946769454918266,10.946769454918266,1.1417766842890062,0.0,67.7397088,23.0603264
Cent_1a,1695,0,43.41594696044922,376.0,131.0,0.0,16.0,16,5.0,1,-10921639,77.76901798063624,76.0,18.0,176.0,56227.0,22.241386206611367,11.104164673304034,11.104164673304034,1.080600264190787,0.0,67.7397088,23.6008028
Cent_1a,1534,0,42.045101165771484,379.0,134.0,0.0,17.0,17,5.0,1,-10921639,78.1881051175657,75.0,19.0,169.0,56530.0,23.15150682543372,11.084234129266141,11.084234129266141,1.0476587571546823,0.0,68.2801852,24.1412792
Cent_1a,1453,0,43.0792121887207,381.0,132.0,0.0,18.0,18,5.0,1,-10921639,77.39834024896265,75.0,21.0,176.0,55959.0,23.219752254241136,11.036946027002092,11.036946027002092,1.0553433490091881,0.0,68.64050280000001,23.7809616
Cent_1a,1936,0,47.00912094116211,378.0,132.0,0.0,19.0,19,5.0,1,-10921639,79.65698478561549,77.0,23.0,192.0,57592.0,24.770384096578148,11.016523788695503,11.016523788695503,1.0299011182971034,0.0,68.1000264,23.7809616
