,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR,ID,name,RawIntDen
0,20.83993911743164,140.16351208685094,18.01587558956953,0.0,0.0,0,1.25,1,-10921639,72.02085747392816,71.0,30.0,161.0,62154.0,17.402416844361177,4.40868826294806,0.08119790947841156,0.6216105359799666,380311,ID380311,1961
1,31.46868324279785,92.01233080218472,18.74890249067543,1.7078997437969787,0.0,0,1.25,1,-10921639,81.09849362688297,77.0,28.0,191.0,69988.0,24.42661788503053,1.295286123712043,0.07717759586735715,0.47575501877219195,380317,ID380317,1734
2,10.283502578735352,140.8620377922227,13.543754019119248,1.4422015297048993,0.0,0,1.25,1,-10921639,63.105446118192354,63.0,21.0,111.0,54460.0,13.519316952502914,1.2915680663390583,0.014731497584510896,0.13553075094936728,380316,ID380316,1631
3,10.45418643951416,140.8601528704829,22.250333883229317,1.2462981875993806,0.0,0,1.25,1,-10921639,69.67323290845887,70.0,16.0,117.0,60128.0,15.006875905896328,4.750000000196068,0.035425160589041126,0.3176865151436115,380319,ID380319,1736
4,29.406362533569336,92.42380198426861,21.71170913931174,1.4021027458268935,0.0,0,1.25,1,-10921639,76.99073001158749,75.0,31.0,170.0,66443.0,19.59715892331174,2.2232325980750725,0.05544227595580894,0.41274505887787355,380318,ID380318,2001
5,10.42577075958252,31.888099793538068,42.1571488795927,0.0,0.0,0,1.25,1,-10921639,61.56662804171495,62.0,16.0,100.0,53132.0,12.999996380849105,4.568831419712329,0.04548777105095287,0.41210495057431556,380313,ID380313,1495
6,11.529452323913574,133.49763811871023,22.51984448696191,0.0,0.0,0,1.25,1,-10921639,66.55735805330244,66.0,30.0,115.0,57439.0,13.637880181415538,4.499506768252341,0.03983758108976632,0.3739440702648083,380312,ID380312,1798
7,12.940871238708496,123.74793459473135,12.45227500747086,1.5038185847452672,0.0,0,1.25,1,-10921639,68.38238702201622,68.0,21.0,128.0,59014.0,15.804996870675385,2.4244425946400336,0.03743185527832456,0.31222064165840235,380315,ID380315,1632
8,11.483320236206055,140.65000245207807,22.639769708151196,1.059518354033486,0.0,0,1.25,1,-10921639,70.72885283893395,70.0,29.0,117.0,61039.0,14.676660116074526,2.2313349586363773,0.043611802091144874,0.40277677829812086,380314,ID380314,1775
9,15.557406425476074,148.18652461078526,22.602560201101287,2.4920323147231715,0.0,0,1.25,1,-10921639,69.56778679026651,67.0,17.0,143.0,60037.0,17.942088603947155,4.482342395955808,0.05271597969459876,0.38832580602664285,380325,ID380325,1664
10,21.74298667907715,81.15884364593822,19.189223257163352,2.652577190251325,0.0,0,1.25,1,-10921639,75.71842410196987,74.0,24.0,165.0,65345.0,18.49865415110774,1.2816830505770458,0.049988888811578244,0.3897446918967005,380324,ID380324,1839
11,32.14434051513672,92.89653758158755,23.885406455948107,2.6380577765032536,0.0,0,1.25,1,-10921639,77.52838933951332,75.0,20.0,183.0,66907.0,22.445785533993448,1.2995752549868873,0.08055669126635641,0.5150032991672421,380327,ID380327,1735
12,13.902413368225098,83.02390763523627,23.45955740477378,2.5032481254644554,0.0,0,1.25,1,-10921639,68.8667439165701,68.0,26.0,123.0,59432.0,14.806943076932965,3.492274190760818,0.03256569058825469,0.2933707021193264,380326,ID380326,1625
13,32.15222930908203,87.78651680888798,21.261754083323908,1.8487238672848734,0.0,0,1.25,1,-10921639,77.63383545770567,75.0,28.0,193.0,66998.0,22.214841405233383,1.283137160892617,0.07254939324179487,0.4727747835101581,380321,ID380321,1833
14,21.944643020629883,138.92994671423114,16.00669561642126,1.877944575055572,0.0,0,1.25,1,-10921639,73.92352259559675,72.0,15.0,156.0,63796.0,19.293644665222704,1.2850277694944978,0.061993393460214895,0.44732376168860255,380320,ID380320,1701
15,11.4420747756958,136.59531794411126,13.665088212005784,2.5736914654177463,0.0,0,1.25,1,-10921639,65.63151796060255,65.0,27.0,121.0,56640.0,14.755266577620656,4.5646449865285055,0.02525427312017375,0.2191284008812661,380323,ID380323,1690
16,23.378732681274414,134.29223230831835,25.689662490991058,2.184646718780435,0.0,0,1.25,1,-10921639,73.45654692931633,71.0,29.0,152.0,63393.0,18.634166425254843,2.256695368326174,0.06168097144506266,0.45804453537180273,380322,ID380322,1867
17,19.6749324798584,148.3848070277167,21.340060589556163,4.098669714371958,0.0,0,1.25,1,-10921639,70.8180764774044,69.0,23.0,150.0,61116.0,18.4170693424203,2.2781816620556783,0.06281478263910326,0.45452510293664805,380333,ID380333,1738
18,10.014904022216797,18.544599329001056,16.881065247576792,4.0036876416247145,0.0,0,1.25,1,-10921639,65.91657010428737,65.0,29.0,105.0,56886.0,12.833576586055392,4.750000000196068,0.01223636770695066,0.12417880403271349,380332,ID380332,1733
19,30.736186981201172,89.65159144110633,12.163177023065336,4.7026342697380255,0.0,0,1.25,1,-10921639,79.2502896871379,77.0,31.0,187.0,68393.0,22.113500129265546,4.268543101228596,0.07668950174001042,0.5105271035559845,380335,ID380335,1995
20,12.344257354736328,72.41652562484197,9.819226573219089,4.491105682081635,0.0,0,1.25,1,-10921639,67.67786790266513,68.0,22.0,114.0,58406.0,14.42568150432417,3.7462554927095697,0.01870439467528762,0.17228037274990168,380334,ID380334,1604
