,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity_normalized,diameter,contrast_normalized
337,4.45242192728068,0.23715473934529,25.3785150389635,17.9322783441713,28.9216181892812,17.9322783441713,11,11.0,0.512082371492267,5.473927582148651,0.275277941029247
365,4.9163103274714,0.0995840028881807,44.06008677032649,32.330607131585495,44.06008677032649,32.330607131585495,11,11.0,0.491639485608927,5.8302102786152,0.340656489329086
205,4.20147279140976,0.287617719935627,32.3918669284591,17.7546544201394,32.8587758561371,15.641864946184098,11,11.0,0.413596284932845,5.092067999195151,0.368683448601505
146,3.38048157953021,0.105925829061586,25.0196269232592,27.530245930015603,31.955554301616395,24.3876478046541,11,11.0,0.440716400646555,5.89506963232432,0.400484434115753
141,4.762911119668781,0.297616461369197,27.9593369184695,34.7274104079635,34.7274104079635,19.4033419119354,17,17.0,0.736638656292955,6.20112004420828,0.438041873441436
353,4.45103320980086,0.104250229787895,28.9871540889947,30.0127358883831,33.4727372898755,21.7577986395859,16,16.0,0.835321202820115,4.93972466664959,0.344977945817006
122,2.50533449748834,0.0997801147586708,17.0626762194287,20.6485309017058,20.6485309017058,16.053930861312,5,5.0,0.564713326050528,5.79746005083287,0.172822780611594
102,4.055611674426141,0.180563404732658,30.7521392342244,36.096354987079906,36.096354987079906,26.692603278983498,14,14.0,0.682128151478581,4.964776213633409,0.287356937735968
332,4.95507003909169,0.0914804437565573,27.888352339173302,31.0237297852303,33.578592214504106,25.4059462940915,15,15.0,0.686842115975716,5.70260842186214,0.316127455719343
157,5.771072309703231,0.309784210212354,20.260124209418603,36.2652903204354,36.2652903204354,20.260124209418603,15,15.0,0.833426912630472,5.401347437636059,0.323569760713379
263,4.736511864483701,0.242757700290663,19.678238390909602,23.1245624351872,26.9203150522142,19.678238390909602,11,11.0,0.753507020505039,4.22991855393094,0.408317609216656
199,4.09710275078874,0.107045888323644,33.1211580643843,51.526441161312505,51.526441161312505,33.1211580643843,13,13.0,0.456056898479171,5.5207984434224295,0.235067661676204
180,3.6275697934601294,0.168343051834192,25.8703107150138,23.9052019848258,28.8494035815776,20.904811098767397,19,19.0,0.874072461619489,5.544521991488,0.421567849400348
203,2.7578334218672205,0.102654000896437,23.2865870683245,23.6741814115927,24.9236529036766,18.3861870969607,9,9.0,0.588217730525309,5.87880105666388,0.212420814011331
385,5.37345753073843,0.0791212473357919,24.3927282011478,22.212329274165302,25.9648139667886,21.187572932493,11,11.0,0.801070671220892,5.42185253348488,0.491050759539226
26,4.4863930237169996,0.359183933150979,32.2883626940421,35.037896300396,37.79814574710979,25.147202414794602,13,13.0,0.580727309644824,4.354887515013489,0.0930742825929406
