Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,ESTIMATED_DIAMETER,SNR
Cent_1a,140446,23,1414.80908203125,96.84270144341382,74.39992250151703,6.5796836588320975,0.0,0,2.5,1,-10921639,1249.2638036809815,1202.0,925.0,2153.0,203630.0,208.30867493244088,3.070664245710093,3.070664245710093,0.7557706642006387
Cent_1a,140753,23,1442.74365234375,97.4699238092722,75.81253233439949,6.690902415951572,29.98,1,2.5,1,-10921639,1234.644171779141,1191.0,896.0,2205.0,201247.0,213.58681933779175,3.083192404209529,3.083192404209529,0.788932308735574
Cent_1a,139559,23,1600.414306640625,97.83313091348188,74.83429333869218,6.516567102710981,59.96,2,2.5,1,-10921639,1196.8159509202453,1149.0,885.0,2067.0,195081.0,206.8975484302961,3.0722022291094535,3.0722022291094535,0.8520466155453744
Cent_1a,140190,23,1472.3116455078125,99.54584569999791,74.77558242940982,7.310784645002768,89.94,3,2.5,1,-10921639,1146.0122699386502,1107.0,854.0,1960.0,186800.0,203.2869099321297,3.087715297787428,3.087715297787428,0.8075298358922328
Cent_1a,139756,23,1407.9747314453125,101.02781870810948,73.89401734550593,6.238811600692525,149.9,5,2.5,1,-10921639,1243.993865030675,1180.0,859.0,2168.0,202771.0,257.12982494395715,6.070800385654002,6.070800385654002,0.684540083681934
Cent_1a,139937,23,1270.1312255859375,100.68354745250902,75.47316872904517,5.622413777763105,179.88,6,2.5,1,-10921639,1216.9509202453987,1190.0,886.0,2061.0,198363.0,214.459982271895,3.072122485661877,3.072122485661877,0.5865016726265861
Cent_1a,140068,23,1424.91455078125,101.25748878307806,75.67168740595174,5.326942201995046,209.86,7,2.5,1,-10921639,1228.3251533742332,1220.0,855.0,2015.0,200217.0,203.81412142390263,3.0957485777968023,3.0957485777968023,0.7974383820070728
Cent_1a,140981,23,1523.3033447265625,100.65055042456319,74.3129652369716,5.226777302326114,239.84,8,2.5,1,-10921639,1170.0674846625766,1137.0,824.0,2035.0,190721.0,234.1401165608751,3.1053133485465283,3.1053133485465283,0.6799542028598701
Cent_1a,141105,23,1849.557373046875,99.02153900842886,73.87179540078411,5.1081803972591375,269.82,9,2.5,1,-10921639,1198.4969325153374,1127.0,834.0,2434.0,195355.0,234.596511352323,3.0736909943333295,3.0736909943333295,0.8588420817936211
Cent_1a,141222,23,1624.3885498046875,99.29885390097718,73.04924447994803,5.547694719204272,299.8,10,2.5,1,-10921639,1209.840490797546,1162.0,871.0,2022.0,197204.0,210.6770955687602,8.54566025926204,8.54566025926204,1.0834048659623956
Cent_1a,140875,23,1836.3929443359375,98.94094829307068,72.2024910996684,6.081711186323685,329.78000000000003,11,2.5,1,-10921639,1197.079754601227,1152.0,835.0,2339.0,195124.0,258.46350320466587,4.631608606909869,4.631608606909869,0.928493271911101
Cent_1a,141642,23,2043.5919189453125,98.7106973990683,71.80927643484576,6.087247415822098,359.76,12,2.5,1,-10921639,1166.4233128834355,1101.0,758.0,2216.0,190127.0,261.8016612314081,3.0760088645788275,3.0760088645788275,0.8794008706846621
Cent_1a,141319,23,1764.316650390625,98.0923916198674,72.81654408915644,6.328145159123823,389.74,13,2.5,1,-10921639,1174.760736196319,1119.0,854.0,2045.0,191486.0,241.15882360370688,3.089988665827617,3.089988665827617,0.9382810527378508
Cent_1a,141527,23,1589.1427001953125,97.80968921611536,72.80642692172886,6.330517521003281,419.72,14,2.5,1,-10921639,1168.79754601227,1114.0,830.0,2020.0,190514.0,222.2542521225036,7.432403083852762,7.432403083852762,0.9677532086984998
Cent_1a,141428,23,1493.401123046875,97.51328221319525,72.32492813078534,6.881582406038078,449.7,15,2.5,1,-10921639,1115.8711656441717,1059.0,818.0,2050.0,181887.0,189.79772036901525,8.493081247118088,8.493081247118088,0.98347274618169
Cent_1a,142065,23,1453.2684326171875,96.98259656776541,72.98141607673573,7.326850866396393,479.68,16,2.5,1,-10921639,1078.4294478527606,1042.0,799.0,1971.0,175784.0,189.81257712836896,3.0694632574841902,3.0694632574841902,0.8510092114804134
Cent_1a,141765,23,1384.84716796875,96.39244296038342,72.38390975229827,7.355323293469867,509.66,17,2.5,1,-10921639,1071.638036809816,1023.0,782.0,1975.0,174677.0,186.11100570762815,3.0766605648598397,3.0766605648598397,0.7993137708525115
Cent_1a,141876,23,1376.41845703125,96.1542550634428,70.90035989996254,7.538958435952662,539.64,18,2.5,1,-10921639,1075.7730061349694,1038.0,811.0,1883.0,175351.0,186.50231854427133,3.0737356806088134,3.0737356806088134,0.7792931769564859
Cent_1a,142237,23,1318.96923828125,95.79466023852567,70.48646546986717,7.255800661688687,569.62,19,2.5,1,-10921639,1095.3496932515338,1054.0,818.0,1776.0,178542.0,169.83112649830437,3.0614504294102893,3.0614504294102893,0.8952222850674092
Cent_1a,142156,23,1141.472900390625,95.16964781081428,68.55548560957604,6.739108576964908,599.6,20,2.5,1,-10921639,1075.4907975460123,1053.0,653.0,1733.0,175305.0,208.46684220160304,7.44592208707367,7.44592208707367,0.624706891321727
Cent_1b,139734,189,1280.9508056640625,87.26438098447598,64.49796238911637,5.228076083010136,149.9,5,2.5,1,-10921639,1534.3865030674847,1567.0,915.0,2048.0,250105.0,221.0931127558397,7.408501985755087,7.408501985755087,1.26873241277471
