Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,ESTIMATED_DIAMETER,SNR,POSITION_Z_UM,POSITION_X_UM,POSITION_Y_UM
Cent_1a,845326,8,89.28614807128906,256.2973651162438,35.279464784697204,3.770230315314149,0.0,0,2.0,1,-10921639,74.23287671232876,71.0,56.0,112.0,5419.0,11.960026648921913,7.600000000313709,7.600000000313709,0.681036473727309,1.8851151576570746,138.68027030552923,19.126564579806747
Cent_1a,844511,8,101.71805572509766,255.1201009180813,33.95958969371061,4.250279575517947,1.0,1,2.0,1,-10921639,75.23287671232876,72.0,57.0,124.0,5492.0,12.649682196211275,3.249276485967186,3.249276485967186,0.7073033367821878,2.1251397877589735,138.04326290926457,18.41100167886434
Cent_1a,842439,8,97.0501708984375,257.22706101556105,32.95601494239948,4.472263240720258,2.0,2,2.0,1,-10921639,75.64383561643835,73.0,60.0,119.0,5522.0,11.813798268472262,3.252647797972774,3.252647797972774,0.8053265571631056,2.236131620360129,139.18332065316267,17.866919238590423
Cent_1a,843530,8,98.18873596191406,257.48250529074255,32.31718018175133,4.615272171629299,3.0,3,2.0,1,-10921639,74.72602739726027,71.0,54.0,111.0,5455.0,13.47658491397889,3.267024229749029,3.267024229749029,0.7060385473735016,2.3076360858146496,139.32153932394027,17.520578544933922
Cent_1a,840415,8,103.64756774902344,257.59056617292043,31.917716402226876,5.123105472950018,4.0,4,2.0,1,-10921639,74.06849315068493,70.0,55.0,117.0,5407.0,13.061105073975352,3.238798787570016,3.238798787570016,0.6925727820673938,2.561552736475009,139.38001012539814,17.3040114903316
Cent_1a,846247,8,99.5197982788086,256.9582668491492,31.227393193068924,5.582558139054874,5.0,5,2.0,1,-10921639,74.61643835616438,71.0,58.0,115.0,5447.0,12.102146431506249,3.2437127753155974,3.2437127753155974,0.775289918652089,2.791279069527437,139.03787847260168,16.929756622195782
Cent_1a,847282,8,106.85100555419922,255.82347576976557,30.205735942024607,5.580041332329182,6.0,6,2.0,1,-10921639,76.13698630136986,73.0,60.0,119.0,5558.0,12.351692493668349,3.250311746850429,3.250311746850429,0.8143875204636284,2.790020666164591,138.42385291070076,16.37587085579371
Cent_1a,841457,8,110.44830322265625,254.9971516594412,29.85177250171133,5.861846761471011,7.0,7,2.0,1,-10921639,76.63013698630137,73.0,55.0,117.0,5594.0,12.644176139976532,3.2617647922573267,3.2617647922573267,0.8738385192372882,2.9309233807355053,137.9767361370742,16.183971555694946
Cent_1a,848316,8,104.0939712524414,255.13993075976774,29.38488105439735,6.0259175069609485,8.0,8,2.0,1,-10921639,75.27397260273973,71.0,58.0,118.0,5495.0,12.715105052623004,3.257775976987142,3.257775976987142,0.7812018438480415,3.0129587534804743,138.0539926637587,15.930848967999573
Cent_1a,849420,8,98.01072692871094,253.35685453978604,27.940328050314736,6.166421611650189,9.0,9,2.0,1,-10921639,74.93150684931507,71.0,54.0,118.0,5470.0,11.929571994654584,7.600000000313709,7.600000000313709,0.7979472516904016,3.0832108058250944,137.08918566291314,15.147692633566619
