,t,Z_UM,Y_UM,X_UM,ID_I,ID_J,SL_UM,SUMINT
0,0,2.5940253111543523,18.193212562550748,78.36015020458031,11008,11009,5.4385270303886495,134
1,0,2.6171124953553275,21.180527674638327,81.87839014873197,11009,11011,4.620894045973734,131
2,0,4.826940416223707,25.778507421566268,80.68979584458276,11011,11038,8.017973780884626,130
3,0,2.5232613299163393,21.060951584115514,75.48128074727524,11013,11008,7.526444698821428,131
4,0,3.6845954369066405,16.10094966789923,84.29642633646142,11015,11016,6.116094442979946,120
5,0,3.3594783076184376,21.760623988668947,148.1266746229545,11019,11010,1.6991484770588292,122
6,0,3.8227018326578337,16.33253799540898,82.30743509914976,11020,11015,5.764749690994183,117
7,0,4.305650006052836,17.43179365111929,73.4395881378015,11021,11017,6.890449795596667,134
8,0,7.011344603721685,21.513050183736226,85.26734409746666,11028,11043,3.45332940507394,111
9,0,5.933182459280329,9.390815204332592,74.76726450130226,11031,11024,7.9745394781158065,121
10,0,4.475830029783277,25.193273540029615,96.22001948015334,11033,11012,8.443081956862574,125
11,0,4.760333742701384,26.612238220223848,75.45358645635801,11037,11013,5.706437579811494,122
12,0,5.5150050254067455,12.234708007162897,61.78059260324676,11041,11014,8.064053635724441,124
13,0,6.30716293679153,12.255084159979402,61.75985153025524,11044,11018,8.127713055350727,119
14,0,2.033794458813416,19.595400118111385,144.17997218011595,10990,11019,9.662738780255985,123
15,0,3.373321569154077,24.961632761009675,142.25276023801067,10994,11029,7.823803277722034,123
16,0,3.24133713783838,15.278436162822896,90.63556190496352,11000,11022,7.565131793096949,132
17,0,3.121604849591427,17.37941282769812,84.43522329607387,11005,11020,10.015321686208651,121
18,0,4.794007977249331,14.79732482171178,133.36224350038043,11007,11035,7.964421443039651,126
19,1,0.0,15.993260060709328,135.27282093070949,10920,10922,9.071914736976908,117
20,1,0.675978127643429,20.0191100996134,140.08724004152396,10922,10929,5.594408518604361,120
21,1,0.0,16.806476673965737,111.4648044469046,10923,10921,7.879566315186674,127
22,1,1.5360132600588303,11.02086803761891,117.61279399987274,10926,10927,10.117897904304742,112
23,1,0.8679181117545278,13.194854536254427,126.77938010860635,10927,10920,8.9845363306327,113
24,1,0.9693210733871965,22.229912795865715,140.29402109540018,10929,10924,1.3198647649987345,122
25,1,1.8598454768099129,19.149782298938327,88.6222156507298,10931,10932,5.06035241248003,134
26,1,1.8598454768099129,19.149782298938327,88.6222156507298,10932,10931,5.06035241248003,134
27,1,2.1002309181220333,10.75304444140402,115.81911621448145,10939,10926,6.66056143633146,115
28,1,2.120267861691728,22.070588959034815,91.60840687477676,10942,10928,2.7947251472833696,124
29,1,2.972064717015365,21.25994636393812,78.30199317023747,10945,10937,9.996698577123713,124
30,1,4.866488502521549,16.481533339177638,77.55626078696957,10947,10951,8.727305136110902,128
31,1,2.812863608286283,17.793435763564183,151.56267967665843,10950,10925,10.229565048994342,122
32,1,4.866488502521549,16.481533339177638,77.55626078696957,10951,10947,8.727305136110902,128
33,1,2.768600779937222,16.490715432853424,115.43521788164358,10954,10923,6.215688841912821,132
34,1,4.139699066974911,22.114071197093914,83.54204670311628,10956,10936,5.047164347771557,119
35,1,4.972363884047012,14.191166904433874,68.27317501367959,10960,10944,10.32862764885163,120
36,1,4.573418616414747,15.23921585259328,133.71374776874873,10965,10930,9.928690223573525,126
37,1,5.099603712141798,18.07156264741098,55.457056033613625,10972,10933,10.179423030498883,130
38,2,2.9442108175969466,20.852583630962734,76.35746509861735,10752,10754,8.030320566501022,129
39,2,2.9442108175969466,20.852583630962734,76.35746509861735,10754,10752,8.030320566501022,129
40,2,3.1243886835850736,20.381837486634197,86.46779952176176,10757,10753,10.591399822223247,127
41,2,4.140880453004339,15.606018335943094,80.84849722998607,10761,10757,5.29880189318322,129
42,2,5.730123557710605,16.150044037065307,73.0374026121394,10762,10770,6.029118578341826,136
43,2,6.425506370386856,24.32834099286398,84.72058920106713,10776,10772,4.506778696951671,117
44,2,7.686256897853401,7.403333787359591,86.920381066328,10781,10799,8.92335375042151,118
45,2,5.386864312916114,13.51303241848284,132.11913324171502,10791,10756,7.821096461933426,127
46,2,7.686256897853401,7.403333787359591,86.920381066328,10799,10781,8.92335375042151,118
47,2,3.742986689089671,14.602863524494119,129.81746740109517,10734,10791,7.644594555854167,128
48,2,3.0379354201217454,17.39017220367044,150.99673928690822,10738,10759,10.034304715996335,118
49,2,3.5252216268584737,14.933086133337762,86.9287934385064,10747,10760,8.542587698128385,126
50,3,5.244518339616761,12.595674047066316,81.15834191337251,10880,10881,3.9008763266933344,136
51,3,5.244518339616761,12.595674047066316,81.15834191337251,10881,10880,3.9008763266933344,136
52,3,6.189744372087654,24.122274988293082,84.11714834666074,10886,10891,4.412821819393307,126
53,3,6.189744372087654,24.122274988293082,84.11714834666074,10891,10886,4.412821819393307,126
54,3,7.302510471162133,26.913371093871376,100.14461538018048,10901,10887,5.723017942774684,119
55,3,8.14984427927119,7.222301865577462,86.50347005123892,10902,10896,8.817973930748966,120
56,3,8.16501026102886,28.44968799246096,56.47017380248818,10906,10882,6.59224141459769,129
57,3,3.982640983867751,14.18284367246045,88.31054334402066,10864,10885,7.256529819030274,130
58,3,4.113693837149037,21.068384848061307,73.05316257319521,10875,10884,4.970955447609119,130
59,3,5.41951897065794,22.745096686343565,144.61483098133505,10879,10888,6.941622934505779,126
60,4,0.0,14.63789903861532,134.1906383632638,11066,11067,9.248392463306901,114
61,4,1.2835046130984777,15.159264236386083,137.58890820613146,11067,11075,3.8648757010014125,120
62,4,1.6362162881585633,21.479428940276982,135.52273765250828,11074,11068,7.6252833999678895,131
63,4,1.2835046130984777,13.53283100987327,133.26017793634878,11075,11066,7.339603173533464,116
64,4,2.513720809718916,9.918171780627606,116.22443565197685,11076,11070,10.673983666605732,123
65,4,2.368560041719217,20.362386053508367,82.10151095299597,11078,11072,4.939993778101355,124
66,4,2.438856792080677,21.083019590713825,89.59076665301902,11079,11073,2.767199192130973,122
67,4,3.2437028833519,20.161698878078923,75.20851928099168,11080,11081,7.430744263960249,130
68,4,4.347809763343201,15.232350182720129,78.22469146637641,11081,11090,5.022867814315284,131
69,4,3.4069879462883312,20.26858175931101,84.90502315717325,11085,11078,10.235860521664634,122
70,4,6.233057212054787,16.225883988429924,79.91061344390928,11090,11106,7.561073812097971,130
71,4,2.995496066452139,20.694620975298214,142.66648228026781,11091,11069,8.120483325676911,108
72,4,4.007573506267855,13.96110160130834,87.69349817774834,11095,11071,7.267653410196307,118
73,4,6.936433950755634,11.08709949731421,69.57911742294591,11098,11104,4.651364613636739,126
74,4,4.080000144704272,24.3124064412392,137.06949421167403,11099,11074,10.860296224222253,128
75,4,5.148178220811003,22.487842278903333,86.30068815110155,11100,11085,10.208166532399256,123
76,4,6.936433950755634,11.08709949731421,69.57911742294591,11104,11098,4.651364613636739,126
77,4,5.1711346128338915,12.352377162101712,124.67060999099144,11105,11076,8.529415209065677,120
78,4,5.177806571486424,20.96290535211424,85.42259310707087,11106,11079,9.804783747161913,125
79,5,0.0,14.63789903861532,133.64954707954095,10763,10766,9.248392463306901,125
80,5,0.5075481958352684,18.548935708351557,138.11847812213153,10766,10769,4.68899747092271,130
81,5,0.9217243566477338,13.877483097751853,128.8919361130467,10775,10763,2.6709551704908185,119
82,5,2.1953501917304106,17.84597235224013,85.34764314760133,10784,10777,4.89814937565461,121
83,5,2.283674021780908,18.306784192269088,133.6086361533203,10790,10780,10.263780296241926,122
84,5,4.504976854974702,14.959598738699178,77.5718307101661,10798,10812,5.18376926161637,129
85,5,4.504976854974702,14.959598738699178,77.5718307101661,10812,10798,5.18376926161637,129
86,5,6.502694201384905,26.495592551358172,77.09409535723694,10826,10824,9.712941780505163,131
87,5,7.85873879836115,6.780169995890078,89.56525502116699,10834,10841,1.1241120595586356,120
88,5,5.146401493158985,13.915104561243005,131.57445215305455,10836,10790,9.70098349053425,125
89,5,5.915484886308487,18.209664733913296,79.9561464657854,10840,10800,4.948395815522125,126
90,5,7.85873879836115,6.780169995890078,89.56525502116699,10841,10834,1.1241120595586356,120
91,5,8.191623987733845,8.99238486880743,83.39051608361123,10844,10816,7.376781720506004,124
92,5,14.236035478845844,20.856165953716427,58.6372413525075,10852,10850,7.825267557796251,142
93,6,3.189843252045433,19.18231693168636,77.56499860289611,11137,11138,4.332171446346297,128
94,6,3.189843252045433,19.18231693168636,77.56499860289611,11138,11137,4.332171446346297,128
95,6,4.721452607777948,21.925624523263316,85.28801110385933,11140,11149,5.550446200582864,124
96,6,3.355682433089135,11.946915870022952,134.08256302836608,11142,11136,3.4434241952031313,125
97,6,3.5979690536098263,19.89043841512278,74.72493509787232,11143,11139,9.684964662312504,125
98,6,5.707779716778908,21.900535737395515,142.7665486616744,11146,11154,6.485699861810112,116
99,6,9.368435795503409,10.49617318280935,76.53418922821751,11148,11172,8.67703304625357,134
100,6,4.721452607777948,21.925624523263316,85.28801110385933,11149,11140,5.550446200582864,124
101,6,6.040502494859972,11.821128300911031,66.58797605995991,11152,11147,6.304208228499699,134
102,6,5.707779716778908,21.900535737395515,142.7665486616744,11154,11146,6.485699861810112,116
103,6,9.099110949954621,6.975512433288102,84.18905793881123,11160,11168,8.848273492580844,109
104,6,7.063674925011641,9.679412010305596,77.72581609396694,11166,11145,8.24522437147019,110
105,6,9.099110949954621,6.975512433288102,84.18905793881123,11168,11160,8.848273492580844,109
106,6,9.368435795503409,10.49617318280935,76.53418922821751,11172,11148,8.67703304625357,134
107,6,1.9612679263818558,13.23483986505175,135.21115972466077,11126,11142,7.743039501160456,119
108,6,4.102171548044421,22.247298066796986,92.06368539482077,11130,11150,10.752021342737427,120
109,7,1.5295750373658472,17.66364326086416,140.51665076872519,11181,11187,8.616477203325895,124
110,7,1.0840650093925925,18.895972921451538,133.74200998997935,11183,11181,9.077911508355989,122
111,7,2.1721101986115086,17.787247678409262,86.72003364234814,11185,11182,2.527493423740829,124
112,7,2.28370410956545,17.670582452292493,84.04028172608137,11186,11185,5.0470062961666455,122
113,7,2.351588709458417,17.531586823945588,132.67577757876631,11189,11183,10.127541306251723,121
114,7,3.235667282260521,19.577426713537452,72.8245498538279,11190,11192,8.080239121121151,125
115,7,2.8615939109539412,17.774100265524176,78.75448628402032,11192,11186,6.43555748595764,123
116,7,3.738827147657945,19.666216255372166,82.66660197105985,11194,11197,10.253291460466572,124
117,7,3.2662975373003857,8.749609106574905,104.08259482838491,11195,11184,10.282054615150777,124
118,7,3.5550162472956037,11.65902998707867,133.73105664168475,11196,11189,3.47551452202028,122
119,7,3.4309246983577752,19.76449940640981,74.04085231233772,11197,11190,9.811175960946539,125
120,7,4.781717703522957,21.994807473128276,84.82409411567158,11202,11194,5.235022772799453,124
121,7,5.609252085347743,21.683232285068016,142.47212512661258,11206,11200,6.388854139036019,112
122,7,6.2568057005140805,26.350240093915115,75.71943364890188,11207,11204,9.937195794563312,116
123,7,5.329483322154803,11.900205514521481,123.01300769885464,11213,11188,9.488629718974488,119
124,7,7.3209681719597395,20.27739833566212,80.55633165126491,11216,11202,5.664730078230912,125
125,7,11.146336694520706,8.09699271376299,74.85561690956658,11217,11223,4.711575142260075,114
126,7,11.146336694520706,8.09699271376299,74.85561690956658,11223,11217,4.711575142260075,114
127,8,0.8440171917194821,20.50588291111814,129.50628516609572,11461,11465,3.786127382208707,136
128,8,1.8462461865393784,14.180387678905895,135.37325335572575,11462,11470,4.337957849499651,113
129,8,0.48666552261222557,15.417991594689576,128.37040720002375,11463,11461,7.226916348954097,128
130,8,1.3306827143317077,16.94882019649156,129.09696684008406,11465,11463,10.450752512046336,130
