,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity,diameter,contrast
331,5.3227872032869605,0.15716739286137424,44.03190478459135,51.938318855535535,52.504921806285495,38.888650475005996,0,57.0,168.9531768610716,11.748159481916106,0.10040628169602643
332,3.7299853619275742,0.273522051397066,27.34824477625093,34.818639203125784,34.818639203125784,26.76374468875632,0,29.0,166.373260738052,10.71454687824681,0.10143786894157042
333,2.732576416500002,0.04010790015159035,51.62231371529501,48.131322912466324,52.33663353937445,43.78904511591689,0,12.0,161.98245614035088,10.021589864992334,0.1019377396203691
334,2.0804303076124184,0.05942949187395464,36.37698071117194,49.724762644373826,49.724762644373826,36.37698071117194,0,14.0,160.0062656641604,12.56775778206963,0.09387756208353107
335,4.552967479363703,0.10265277107357618,37.106447167113,43.24872888578621,43.24872888578621,31.73089811825969,0,34.0,163.46730462519938,12.374855310221314,0.10205716337692383
336,4.1240689862330875,0.15709881491980862,27.727252022373506,36.66141160395832,36.66141160395832,26.447152942725896,0,29.0,167.91912280701754,13.653206423605184,0.12005903018251685
337,3.9195773963301823,0.15572915553195707,48.82622246293481,39.695856927877934,48.82622246293481,39.695856927877934,0,20.0,163.373260738052,13.223665686291394,0.1470906782535472
338,5.439844554793796,0.12459699101514822,12.781683583613322,13.767792016204385,25.72930739401433,11.91560613430571,9,36.0,176.17582742316785,12.803144746693471,0.15584400228686146
339,5.268351111551038,0.1531714690584253,23.029444968916827,17.97376079122403,27.380875954762654,16.927456111745453,0,35.0,162.3294599018003,13.93818759491219,0.0973817063328695
340,5.988844852729333,0.2277150173317809,30.568664643886066,27.982320989265023,30.568664643886066,26.54611662246517,0,16.0,161.44680851063828,13.053469904964947,0.09295884962279136
341,6.193154676749543,0.24693552852874515,40.2586988236752,13.163753613532743,40.290901364168775,12.257931132806112,11,70.0,164.97796709753231,9.880377159431523,0.08738574753371617
342,2.4123360558227267,0.038746185042682665,36.911383432228824,40.65435807390536,40.65435807390536,35.44169491266405,0,18.0,165.70169082125602,9.217373685438037,0.09381957397712036
343,2.0670328226457624,0.03819510069152104,28.811764750361966,30.530907031923213,30.530907031923213,26.541124683161897,0,11.0,159.901185770751,12.184603371285428,0.0812974515644252
344,4.844674919624201,0.06442788249388448,54.49016359164385,35.512649948883336,54.49016359164385,35.512649948883336,0,29.0,162.3980509745127,8.846764555762226,0.08841733477926014
345,2.073143190913867,0.017025849297814064,44.032035869052464,48.00309505702591,48.00309505702591,44.032035869052464,0,10.0,157.52391304347827,11.929975200433526,0.07976941835367125
346,2.2834346771740632,0.14029617019260773,18.95391157018546,21.92895410550065,25.10074316040285,18.76984274249132,0,12.0,158.0072463768116,8.153807542507753,0.08891720545805884
347,2.8587901763434433,0.1186171151085769,30.126768282495128,24.59691200712565,31.094925049445948,24.59691200712565,0,14.0,156.03105590062114,10.699975459585048,0.0808570279212208
