Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
0,0032-0231-0721,Straight Line,none,712,218,19,27,2,none,none,0,32,0,32,0
1,0033-0231-0720,Straight Line,none,711,218,19,27,2,none,none,0,33,0,33,0
2,0034-0233-0719,Straight Line,none,710,220,19,27,2,none,none,0,34,0,34,0
3,0035-0233-0717,Straight Line,none,708,220,19,27,2,none,none,0,35,0,35,0
4,0036-0233-0717,Straight Line,none,708,220,19,27,2,none,none,0,36,0,36,0
5,0037-0232-0715,Straight Line,none,706,219,19,27,2,none,none,0,37,0,37,0
6,0038-0232-0714,Straight Line,none,705,219,19,27,2,none,none,0,38,0,38,0
7,0039-0231-0712,Straight Line,none,703,218,19,27,2,none,none,0,39,0,39,0
8,0040-0229-0710,Straight Line,none,701,216,19,27,2,none,none,0,40,0,40,0
9,0041-0229-0710,Straight Line,none,701,216,19,27,2,none,none,0,41,0,41,0
10,0042-0228-0711,Straight Line,none,702,215,19,27,2,none,none,0,42,0,42,0
11,0043-0228-0710,Straight Line,none,701,215,19,27,2,none,none,0,43,0,43,0
12,0044-0227-0712,Straight Line,none,703,214,19,27,2,none,none,0,44,0,44,0
13,0045-0227-0712,Straight Line,none,703,214,19,27,2,none,none,0,45,0,45,0
14,0046-0230-0713,Straight Line,none,704,217,19,27,2,none,none,0,46,0,46,0
15,0047-0228-0713,Straight Line,none,704,215,19,27,2,none,none,0,47,0,47,0
16,0048-0228-0714,Straight Line,none,705,215,19,27,2,none,none,0,48,0,48,0
17,0049-0228-0714,Straight Line,none,705,215,19,27,2,none,none,0,49,0,49,0
18,0050-0228-0713,Straight Line,none,704,215,19,27,2,none,none,0,50,0,50,0
19,0051-0224-0711,Straight Line,none,702,211,19,27,2,yellow,none,0,51,0,51,0
20,0052-0224-0709,Straight Line,none,700,211,19,27,2,none,none,0,52,0,52,0
21,0053-0225-0711,Straight Line,none,702,212,19,27,2,none,none,0,53,0,53,0
22,0054-0225-0713,Straight Line,none,704,212,19,27,2,none,none,0,54,0,54,0
23,0055-0226-0715,Straight Line,none,706,213,19,27,2,none,none,0,55,0,55,0
24,0056-0226-0718,Straight Line,none,709,213,19,27,2,none,none,0,56,0,56,0
25,0057-0226-0719,Straight Line,none,710,213,19,27,2,none,none,0,57,0,57,0
26,0058-0226-0721,Straight Line,none,712,213,19,27,2,none,none,0,58,0,58,0
27,0059-0226-0723,Straight Line,none,714,213,19,27,2,none,none,0,59,0,59,0
28,0060-0226-0725,Straight Line,none,716,213,19,27,2,none,none,0,60,0,60,0
29,0061-0226-0726,Straight Line,none,717,213,19,27,2,none,none,0,61,0,61,0
30,0062-0226-0726,Straight Line,none,717,213,19,27,2,none,none,0,62,0,62,0
31,0063-0226-0725,Straight Line,none,716,213,19,27,2,none,none,0,63,0,63,0
32,0064-0226-0725,Straight Line,none,716,213,19,27,2,none,none,0,64,0,64,0
33,0065-0226-0725,Straight Line,none,716,213,19,27,2,none,none,0,65,0,65,0
34,0066-0225-0725,Straight Line,none,716,212,19,27,2,none,none,0,66,0,66,0
35,0067-0225-0725,Straight Line,none,716,212,19,27,2,none,none,0,67,0,67,0
36,0068-0225-0725,Straight Line,none,716,212,19,27,2,none,none,0,68,0,68,0
37,0069-0225-0725,Straight Line,none,716,212,19,27,2,none,none,0,69,0,69,0
38,0070-0225-0725,Straight Line,none,716,212,19,27,2,none,none,0,70,0,70,0
39,0071-0225-0725,Straight Line,none,716,212,19,27,2,none,none,0,71,0,71,0
40,0072-0225-0726,Straight Line,none,717,212,19,27,2,none,none,0,72,0,72,0
41,0073-0225-0726,Straight Line,none,717,212,19,27,2,none,none,0,73,0,73,0
42,0074-0225-0726,Straight Line,none,717,212,19,27,2,none,none,0,74,0,74,0
43,0075-0225-0726,Straight Line,none,717,212,19,27,2,none,none,0,75,0,75,0
44,0076-0225-0728,Straight Line,none,719,212,19,27,2,none,none,0,76,0,76,0
45,0077-0225-0729,Straight Line,none,720,212,19,27,2,none,none,0,77,0,77,0
46,0078-0225-0729,Straight Line,none,720,212,19,27,2,none,none,0,78,0,78,0
47,0079-0225-0730,Straight Line,none,721,212,19,27,2,none,none,0,79,0,79,0
