center_stdev,dist_center_to_border,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,centID_i,centID_j
12.777016968964366,18.550032119434434,0.11928235596190567,20.021891879237014,25.36375439610482,29.586600376843123,15.634643143404366,0,11.0,3,18
13.094826521002009,20.042254994662812,0.019095568847657778,12.399800529961126,21.661683891421966,21.661683891421966,8.69667553109805,5,10.0,3,34
5.439844554793795,89.26642745676818,0.12459699101514822,12.781683583613322,13.767792016204387,25.729307394014327,11.91560613430571,9,36.0,5,11
31.005557506960294,13.825536396766609,0.16787086839591248,23.01840591677788,7.146488726090734,24.075207324026074,6.374647912860047,14,28.0,6,18
13.369220476301273,19.882499265180456,0.053003081318159444,16.204402298701655,8.384691494809239,28.319909669028803,8.384691494809239,2,10.0,6,34
1.8519781839183829,111.40267237748557,0.12249121571845246,15.558483930842677,16.557359888624614,17.20692910733813,14.777122255510305,1,10.0,8,10
1.8519781839183829,111.40267237748557,0.12249121571845246,15.558483930842677,16.557359888624614,17.20692910733813,14.777122255510305,1,10.0,10,8
2.006554892409662,126.11837830057489,0.15803997386851742,37.62612205766151,14.193402441121664,37.62612205766151,12.25877250361391,14,52.0,10,14
3.7299853619275742,126.03690904278905,0.273522051397066,27.348244776250933,34.81863920312578,34.81863920312578,26.76374468875632,0,29.0,10,23
5.439844554793795,89.26642745676818,0.12459699101514822,12.781683583613322,13.767792016204387,25.729307394014327,11.91560613430571,9,36.0,11,5
5.268351111551038,69.74293280535537,0.1531714690584253,23.029444968916827,17.97376079122403,27.380875954762658,16.927456111745453,0,35.0,11,69
5.988844852729332,70.21002285139362,0.2277150173317809,30.568664643886063,27.982320989265023,30.568664643886063,26.546116622465167,0,16.0,11,131
6.193154676749543,101.2802029493927,0.24693552852874515,40.258698823675196,13.163753613532746,40.29090136416877,12.257931132806112,11,70.0,13,15
2.0670328226457624,93.16515600562549,0.03819510069152104,28.811764750361966,30.530907031923217,30.530907031923217,26.5411246831619,0,11.0,13,22
2.283434677174063,111.31608918872179,0.14029617019260773,18.95391157018546,21.928954105500654,25.10074316040285,18.76984274249132,0,12.0,13,28
2.858790176343443,117.47027905450848,0.1186171151085769,30.12676828249513,24.59691200712565,31.094925049445948,24.59691200712565,0,14.0,13,68
5.592504771224768,104.68172400773767,0.3262587393346055,19.924858845171276,21.110642943086567,31.996344945360086,15.524174696260024,0,48.0,13,109
2.006554892409662,126.11837830057489,0.15803997386851742,37.62612205766151,14.193402441121664,37.62612205766151,12.25877250361391,14,52.0,14,10
4.367334285210431,135.16187608412304,0.17267936983869872,19.754049991256146,36.384216096653475,37.13610696373021,17.523341123233433,0,29.0,14,23
6.193154676749543,101.2802029493927,0.24693552852874515,40.258698823675196,13.163753613532746,40.29090136416877,12.257931132806112,11,70.0,15,13
2.011886477136044,92.93635063260135,0.039757088558472126,29.913643207772324,31.354853892213495,31.354853892213495,27.55504038684185,0,11.0,15,22
2.5473713390087798,110.96268908144042,0.23850708776694318,13.4341239322518,14.3127436878506,14.909248646472754,12.241520567382477,12,12.0,15,28
3.438994708885854,116.33742962657087,0.07779082335326482,23.755083384257958,21.561577933083175,24.165852242114216,21.016563741806333,0,14.0,15,68
5.777536396745335,105.3228906186654,0.2074643481427752,29.869666443445237,27.2198813026533,33.855246733940845,25.193679392322217,0,46.0,15,127
12.777016968964366,18.550032119434434,0.11928235596190567,20.021891879237014,25.36375439610482,29.586600376843123,15.634643143404366,0,11.0,18,3
31.005557506960294,13.825536396766609,0.16787086839591248,23.01840591677788,7.146488726090734,24.075207324026074,6.374647912860047,14,28.0,18,6
2.1960188353135313,77.59019847057253,0.042288754753866176,21.157868666757977,22.173861394794397,22.173861394794397,20.69072787852368,0,11.0,19,22
3.7539584068659932,63.899006609077745,0.10800413435500601,27.236531108827673,30.138174369796833,30.452163265228414,27.08018691577221,0,18.0,19,32
21.36846606296067,16.316763720160857,0.018554980575529238,18.103476958750928,19.530750357551902,23.161889471228434,4.551762018068777,12,16.0,21,31
13.295427786889961,12.355986223648637,0.010667154504028647,20.016851743740105,26.438138705630415,30.07336620117783,14.191495415261672,1,12.0,21,37
18.425798004286996,16.725670771139303,0.01909277641090111,6.9037327588934,10.130792118064068,12.502014498310295,6.314677669507466,13,13.0,21,59
5.845769144047733,14.645456295719327,0.2551881159264087,11.91867725287103,13.013815760362965,18.897493474819676,10.94224526176457,7,10.0,21,96
2.0670328226457624,93.16515600562549,0.03819510069152104,28.811764750361966,30.530907031923217,30.530907031923217,26.5411246831619,0,11.0,22,13
2.011886477136044,92.93635063260135,0.039757088558472126,29.913643207772324,31.354853892213495,31.354853892213495,27.55504038684185,0,11.0,22,15
2.1960188353135313,77.59019847057253,0.042288754753866176,21.157868666757977,22.173861394794397,22.173861394794397,20.69072787852368,0,11.0,22,19
3.3656427287682034,67.7275477795836,0.10743981699480588,25.270230947960517,32.7239923275835,32.7239923275835,24.826535671666527,0,11.0,22,35
3.7299853619275742,126.03690904278905,0.273522051397066,27.348244776250933,34.81863920312578,34.81863920312578,26.76374468875632,0,29.0,23,10
4.367334285210431,135.16187608412304,0.17267936983869872,19.754049991256146,36.384216096653475,37.13610696373021,17.523341123233433,0,29.0,23,14
2.339265486172253,122.69277310308634,0.10361602021858049,34.94782079785752,15.870548396352557,34.94782079785752,15.66102543075669,0,12.0,23,28
3.4048324935483287,132.14226107093293,0.10431009399152028,22.447771426502644,27.48959422656555,27.48959422656555,22.027320042196358,0,14.0,23,68
