,center_stdev,dist_center_to_border,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap
590,7.2730582581848635,119.07334329005093,0.1565804473500165,51.52538615906646,28.60745237683503,56.72118633062528,28.60745237683503,0,74.0
591,8.553213055630856,122.41347674965355,0.12794799340848426,27.63077262323696,35.73099721289787,43.44127789819362,23.158834185805677,0,61.0
592,6.970692418595285,95.1655143249072,0.13214817152845565,23.9170855649996,59.63313423958522,60.56658755090621,23.9170855649996,0,77.0
593,5.572829412366247,112.04914967257534,0.12071911295532994,32.45556378965489,30.264919014726843,32.575870378140614,21.941206022934896,0,39.0
594,6.45478262826352,118.73265301233137,0.2516767958750959,21.023233342458177,17.95132432118885,30.31196030734109,15.646443420594958,0,77.0
595,2.4956449326334806,112.45816460499762,0.08347180550094442,21.718764902424027,20.471642399517613,21.817392745298033,20.19702163729445,0,10.0
596,4.7176469719357295,122.22385057472592,0.09395832264305708,55.73787578353368,24.326524792244573,55.73787578353368,24.326524792244573,0,60.0
597,4.0431926031528995,108.63728520292364,0.0825401979837999,23.810871645901326,24.402164598270396,26.41176659101521,22.749379545429353,0,19.0
598,4.086440429809053,115.83072669828373,0.2471103265922465,14.380291844462766,4.650250358574196,16.400988014780314,4.650250358574196,20,24.0
599,2.8900631912398764,116.62270334131969,0.15879106436359916,36.301467209232065,30.108069382830863,37.79279942716131,28.828494796109123,0,22.0
600,2.1711178953030323,96.46802188084598,0.06752700237668935,38.94982911013524,45.82446826223149,47.062306309121226,38.94982911013524,0,18.0
601,1.4834685300914852,108.0230560261505,0.21984480911569784,17.02576379059953,14.975850158783938,19.079101684099367,13.14007527970431,3,12.0
602,4.206690220302401,85.05255245783957,0.1796341714607715,26.694287019201536,27.168999973761334,29.730408456348087,23.744118380864982,0,33.0
603,2.627588570887597,74.50710814556156,0.035888453143839094,42.339871053477026,43.538562938913486,43.538562938913486,40.33304364443972,0,15.0
604,1.8498395106787855,108.4085038889924,0.044209145235545526,40.88353300929904,41.0573163674632,41.0573163674632,38.62931506622285,0,13.0
605,3.7695222472651873,98.47790082852705,0.07981697600636592,45.21008605369703,34.153549707730605,49.56859400636554,34.153549707730605,0,40.0
606,2.049298700172685,88.2647345148958,0.12122902553634846,14.23748229494584,18.171119666257074,18.171119666257074,12.481899416578575,15,28.0
607,5.806716683140723,97.71089980951577,0.1994428002860728,38.24798436400596,10.918783611111886,40.16054518636661,10.270341880070292,16,77.0
608,1.835398800947076,79.41412470208356,0.018540641394850503,36.83911104290959,37.75450955001967,38.48791300184054,36.74694572854696,0,11.0
609,1.4345497364531934,104.07749122934341,0.0277174654721185,46.747396538886434,48.222178898229295,50.052197637804014,46.747396538886434,0,20.0
610,3.0294850708192462,46.89040399957767,0.039796365542987454,37.8684255067583,35.82768472535835,38.35683425637157,35.020992605058716,0,20.0
611,3.1492220027496463,39.798718420182674,0.04674621616417062,39.996135581606076,43.382191045201715,43.382191045201715,39.227118791412614,0,20.0
612,3.4272201628499324,38.38492126454514,0.08866701983899422,17.04417504211445,21.448794427804387,21.448794427804387,16.986129975974766,0,20.0
613,4.5359573576073,92.49734516460488,0.10306173002773382,44.47528453092891,33.01102135877711,46.7105133436752,33.01102135877711,0,33.0
614,3.3745843823074417,119.91993464753072,0.22270055569327524,21.105523163701662,55.240456340389784,56.14991700330614,17.570238451224167,0,77.0
615,2.029763878115627,114.32889770445757,0.035505112305599926,28.62717573212901,33.68207809060406,33.68207809060406,28.09442450623285,0,13.0
616,3.3247870800854535,105.94465874749642,0.05623024724457001,54.20221918020614,34.228754252463744,56.904182592851505,34.228754252463744,0,40.0
617,2.1262609415316054,95.4505124912158,0.1836334502985023,26.885378347435257,25.400681767349052,26.885378347435257,22.370962935211214,0,28.0
618,5.806716683140723,97.71089980951577,0.1994428002860728,38.24798436400596,10.918783611111886,40.16054518636661,10.270341880070292,16,77.0
619,1.9307376544019448,85.23835016512623,0.01985244217726148,48.85996947113268,47.51142532935457,48.85996947113268,46.041618401064405,0,11.0
620,5.924782961608544,116.91950407879213,0.1009316689256536,35.62483410514568,46.14980794921818,54.524746649440296,35.62483410514568,0,59.0
621,5.521622629683592,116.70651331586626,0.21009770834691133,44.36754987680868,49.95374765083257,49.95374765083257,27.821888002242826,0,57.0
622,4.800973257850589,120.23870787234392,0.2856322894131055,21.344495137183088,30.623958939309897,30.623958939309897,20.980220015776673,0,23.0
623,1.2497959334744164,119.31133540308304,0.0962248356743074,20.984200690584654,26.20273865336193,26.20273865336193,20.984200690584654,0,19.0
624,2.2690855148541154,108.913158612267,0.03345705385845288,42.93674962663947,39.29413849661876,44.52809116988105,37.97417531743715,0,19.0
625,1.0892630860303052,104.27171135545456,0.032129127388715414,34.473434409212665,30.394845942629967,34.808184471106344,30.394845942629967,0,11.0
626,3.977851566677309,109.8495750527421,0.15379058007076035,45.07965711962184,43.931296627114804,50.46470990107608,43.931296627114804,0,54.0
627,3.9817920376291362,99.94689326125912,0.1079163056195162,32.51122737058844,31.818651745782986,41.0684002100328,31.66070166431399,0,56.0
628,3.144048312733733,123.26398090861409,0.14345546944702278,35.56366751468162,42.72553947241548,42.72553947241548,30.718412314406642,0,56.0
629,4.647398745380683,121.92157436064592,0.07503478193997604,49.04956150014797,45.151370545583674,49.77487371879822,39.1451113373704,0,56.0
630,4.219302621050285,86.47648869980438,0.06852590079568935,29.70832060910592,47.65822568124932,53.456826572783385,29.70832060910592,0,56.0
631,3.6829828763266255,99.88887010157093,0.08642229956557174,40.82910515172028,29.697077963014888,45.145788070543524,29.697077963014888,0,47.0
632,3.8754819812458106,95.0386981798428,0.0976097486444753,35.52931537300773,36.02339004333797,41.794642171879346,32.62726821015131,0,54.0
633,4.709903957658655,89.39131894898944,0.060329008006656186,51.635055481927935,43.10438599914694,54.191449491148745,43.10438599914694,0,27.0
634,2.0532513777109553,103.79296848685932,0.052962931637721394,49.831659735327996,47.37415570515088,50.109089899480686,47.37415570515088,0,10.0
635,2.7483850475021465,49.853520155026615,0.05430567420551695,27.29869364340149,28.49807209864953,31.1229922922929,27.29869364340149,0,14.0
636,1.6172297333837773,64.45389737431074,0.05352226845156115,49.62693805340204,45.954465389701255,50.05672765647189,45.954465389701255,0,14.0
637,2.9333728389227183,35.07144931415132,0.06422336823504865,43.401308627151565,42.06682806936298,43.76160975282321,39.904711779402355,0,14.0
