,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity,diameter,contrast,centID_i,centID_j,Predicted_Label,True_Label
334,4.487896689078639,0.2949725783873041,39.21734310225516,25.22174749198709,43.4956205913733,21.940312237480196,1,15.0,100.93392857142857,19.697174353535022,0.18443943259919066,1023,1374,0,0
335,6.402683497145966,0.4457020897437903,39.385648795166674,29.82157873552152,39.385648795166674,20.103657064284945,1,14.0,101.99711538461538,18.23283074579693,0.18907680118244505,1023,1702,0,0
336,7.843169401681241,0.5190788443107043,26.265701865362047,26.93097441824932,36.302432123789075,11.000793395909376,5,19.0,100.965,20.771504678151807,0.1755809645637167,1037,825,0,0
337,4.752337054179342,0.29807627693254474,29.485630610300397,40.83365074188709,40.83365074188709,12.029029493474534,11,14.0,101.93055555555556,21.830810006801357,0.15253214037034904,1037,940,0,0
338,4.600997047871716,0.28456952261987595,23.174314707609916,50.34719533562027,50.34719533562027,21.130893381654037,2,12.0,100.75,21.05254611999216,0.15142829702628854,1037,1053,0,0
339,5.888931123461296,0.5943536442959456,45.06014747655053,13.992213158219373,47.874974670867864,8.72678831681084,9,18.0,101.41911764705885,20.82216801430316,0.15015507864777408,1037,1337,0,0
340,4.930560703595539,0.901375417550439,24.26778001296977,17.80638795881019,24.26778001296977,7.5788597623430976,10,11.0,101.2159090909091,21.7830100373554,0.1632777662064802,1037,1391,0,0
341,9.05572743513201,0.672294606611568,13.316271828450045,15.340560733001466,23.171375647816035,10.41211844694005,9,15.0,100.23214285714286,20.789034906326627,0.1804872154402356,1037,1505,0,0
342,6.232705558016053,0.22883425778853975,31.24567880230741,33.542628344099676,42.5440947723653,15.954108717172575,2,16.0,101.28125,18.658561565831867,0.19631455394085745,1037,1599,0,0
343,6.491567217196536,0.5532440728631202,11.262225900082779,8.511242272836174,30.813183357337103,8.511242272836174,3,16.0,101.66142857142857,21.92719686179062,0.15522726119063554,1043,890,0,0
344,6.80632726771655,0.1531123319597495,40.013056517993775,21.313475760148453,55.285306577797144,21.095451085115357,1,16.0,102.1098901098901,21.410533562473038,0.1615425520879456,1043,931,1,0
345,6.8910300125489625,0.3730570802777939,16.802266068970486,54.66648291331125,54.66648291331125,11.428660933812786,5,12.0,101.86031746031746,20.8034222577546,0.1743606903519037,1043,1075,0,0
346,7.3025485408350015,0.4830807999727923,25.202508733739265,38.3275357934736,38.3275357934736,20.976695740001798,1,13.0,101.41758241758242,19.80638803930239,0.1743793473626638,1043,1098,0,0
347,6.275273905935173,0.8924466218221139,13.749415270744375,18.339203761379434,27.54564313476491,13.749415270744375,5,13.0,101.26373626373626,23.16298144131341,0.1450979223881371,1043,1132,0,0
348,5.535281688034263,0.3153985926702437,33.899810672082594,44.73367495466236,44.73367495466236,10.0,3,11.0,101.015873015873,20.182945164149405,0.18170879081599045,1043,1143,0,0
349,10.671101545571595,0.3376017728687976,56.849696618622865,35.041364181250145,56.849696618622865,20.741990561978344,1,11.0,101.48809523809523,21.53116994644725,0.1659163830262208,1043,1144,0,0
350,6.268818261449986,0.2623512564783972,27.613634841000504,30.11719551421156,39.693993313793456,17.12689112352773,1,12.0,101.625,24.187575147918835,0.12158201764189705,1053,859,0,0
351,5.4627989100830865,0.4533170407757372,15.902540995170455,19.85001844405064,28.63816009540796,8.58419523822382,9,12.0,102.43055555555556,24.01009636522809,0.11859939632189374,1053,940,0,0
352,5.148588110084401,0.25063652853029944,22.184345312466306,35.684019029486066,38.60997048520189,19.914071154648,2,10.0,101.0340909090909,19.23889112309371,0.16169796401779266,1053,995,0,0
