,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity,diameter,contrast,centID_i,centID_j,Predicted_Label,Unnamed: 14,Unnamed: 15,True_Label
1516,11.854494500000001,0.379630067,43.19647521,45.11150409,54.99851271,18.8755264,2,32,105.7062893,19.89222855,0.17590622600000003,7009,8027,0,,,0
1517,5.4834905229999995,0.24976912399999998,12.77173712,46.0,60.0,12.77173712,4,20,104.9396226,16.72970997,0.209822363,7009,8193,0,,,0
1518,6.664753301,0.471433405,21.81182438,13.7026527,34.15017364,10.22662331,4,14,107.22423799999999,20.59113018,0.162840695,7009,8194,0,,,0
1519,5.624950093,0.4316705,40.71989452,32.09789537,40.71989452,14.863540300000002,5,16,108.1521226,20.96067508,0.163744358,7009,8296,0,,,0
1520,4.376515157,0.220938738,47.0,34.96986126,57.07032085,20.80516053,1,15,107.4467655,20.06519814,0.183605128,7009,8316,0,,,0
1521,3.255821358,0.222938733,31.96721293,19.1758157,33.4833636,19.1758157,2,12,107.75628929999999,20.20214201,0.163120707,7009,8404,0,,,0
1522,8.26712604,0.363391151,22.08315964,47.66983508,50.19470218,22.08315964,1,24,102.36705690000001,21.445002399999996,0.153214081,7010,7217,0,,,0
1523,6.401935202000001,0.543675131,25.22234158,28.92723027,28.92723027,9.448043794,9,13,102.4423077,23.47851559,0.123641001,7010,7312,0,,,0
1524,13.07593961,0.76050278,20.04403271,33.69778521,39.36853139,11.13896336,19,36,102.26208790000001,23.15442876,0.132840556,7010,7328,0,,,0
1525,7.5757508289999995,0.121639879,29.69967045,39.61449136,53.72588633,15.70223148,3,10,101.96923079999999,22.21581618,0.166778903,7010,7333,0,,,0
1526,8.049427402000001,0.266292271,16.22911042,56.06935477,62.75252858,8.905838338999999,2,25,101.3317308,20.40734799,0.161257172,7010,7503,0,,,0
1527,13.85908123,0.42873767399999996,25.58432243,39.71192762,41.27256373,11.43258386,3,27,102.2392308,23.3008879,0.131298199,7010,7889,0,,,0
1528,8.398571404,0.489418626,21.14246562,20.52226204,25.19895003,9.167104898,4,10,101.79700849999999,19.95486287,0.17103501100000001,7010,8055,0,,,0
1529,12.95475721,0.457866427,32.91402789,36.73916059,41.85184408,11.22314924,6,25,101.8733974,21.49429638,0.15836788599999999,7010,8101,0,,,0
1530,7.372374047999999,0.262063773,32.84570794,35.99221271,40.34609481,14.36905177,5,14,103.30494509999998,21.04149749,0.16627679199999998,7010,8187,0,,,0
1531,6.387938908,0.16346670000000002,64.90492958,19.49371957,65.9356238,19.49371957,1,18,102.3427602,23.21721633,0.146873436,7010,8195,0,,,0
1532,8.70451486,0.529012768,15.28811561,20.92937431,34.3063651,6.0,6,14,101.7692308,20.82722237,0.160650942,7010,8324,0,,,0
1533,7.116645846,0.605784707,19.70128689,25.464892199999998,33.94582357,18.20836246,3,14,103.3858974,23.11295828,0.131535681,7010,8325,0,,,0
1534,7.8484611189999995,0.987858555,29.33085291,20.49083567,29.33085291,10.10943905,7,12,102.6555944,23.52954964,0.139702299,7010,8353,0,,,0
1535,5.673284962,0.264484744,58.22739412,29.42156361,58.22739412,11.86614175,2,20,102.2271429,21.08661465,0.146118162,7013,7186,0,,,0
1536,4.4374671789999995,0.57799046,15.16272801,13.47065841,29.56960631,9.184354345,7,14,100.8123077,20.4146474,0.175585966,7013,7219,0,,,0
1537,6.114547541,0.678132355,28.00883447,8.802713743,28.00883447,8.0,8,10,100.77,20.27242698,0.17498627,7013,7355,0,,,0
1538,5.998014239,0.237684869,40.60788101,30.48882487,42.3792402,21.44564702,1,11,102.27217390000001,18.23549799,0.180508196,7013,7372,0,,,0
1539,6.513642965,0.537859616,16.67918838,16.00041692,20.69859664,11.23547888,10,10,102.635625,23.08734715,0.143857837,7013,7468,0,,,0
1540,4.014373616,0.230941809,27.13049912,27.80481631,29.932602000000003,21.65612492,1,36,114.62639309999999,18.13597567,0.07807400099999999,7019,7257,0,,,0
1541,4.598342833999999,0.116511536,22.01879222,34.78608986,38.63388079,22.01879222,1,25,111.57142859999999,23.14607966,0.028663845,7019,7487,0,,,0
1542,7.36183707,0.5384430689999999,29.96352104,13.658425400000002,30.02935586,9.14763772,8,13,102.70432690000001,23.70489845,0.136439328,7022,7312,0,,,0
1543,9.582721371,0.6814409309999999,17.092018799999998,15.28222392,29.17155593,10.82895266,9,21,102.5241071,23.38081163,0.145638882,7022,7328,0,,,0
1544,6.553150905,0.339532125,21.51027217,30.66473917,32.21118013,19.70876584,4,10,102.28125,22.52421499,0.16836957600000002,7022,7430,0,,,0
1545,7.349750414,0.105374864,11.0,40.82802197,42.170567299999995,11.0,1,15,101.59375,20.63373085,0.174055498,7022,7503,0,,,0
1546,5.986613847999999,0.25611974600000004,22.47394517,26.55448235,26.59721937,15.43555991,3,10,102.50125,23.52727076,0.144096525,7022,7889,0,,,0
1547,8.542805494,0.269576621,14.01176029,36.90544134,51.11841087,11.97590692,5,29,104.24955279999999,23.55938188,0.149579325,7024,6645,0,,,0
1548,7.58207665,0.470241306,45.65580646,37.50137156,45.65580646,11.68322617,3,29,104.38461540000002,21.59410323,0.159130384,7024,7008,0,,,0
1549,10.281639300000002,0.9195748440000001,11.53833242,20.78835604,24.21762233,11.53833242,7,15,104.3434066,20.73230537,0.15485412099999998,7024,7211,0,,,0
1550,7.874150426,0.34582179999999996,19.46058886,26.19352062,38.51657246,14.55625062,2,17,103.1826923,20.7911799,0.16441845800000002,7024,7288,0,,,0
1551,4.141159807,0.24490797600000003,27.12135185,20.91150353,27.12135185,15.55131499,5,15,103.70424399999999,22.81367793,0.142606085,7024,7321,0,,,0
1552,3.813258706,0.214394389,27.32993497,28.48142541,38.47209333,21.54750745,1,11,102.5021368,20.62366221,0.178336401,7024,7501,0,,,0
1553,7.421531777999999,0.519723931,6.166298469,25.43702953,25.43702953,6.166298469,5,11,103.6606335,20.41096363,0.165295509,7024,7509,0,,,0
1554,6.624969061,0.408043964,29.94763217,43.352308,43.352308,10.21242331,7,27,104.3125,21.07118726,0.165112929,7028,6766,0,,,0
1555,5.872993245,0.292702637,22.34518994,21.32931984,35.00238416,17.49263656,1,19,105.4090909,21.46727112,0.16747214800000002,7028,6871,0,,,0
1556,5.622235432,0.244105412,13.1235157,60.20797289,62.48199741,13.1235157,1,21,104.7,20.35458324,0.175030465,7028,7199,0,,,0
1557,4.6990431280000005,0.43008213,25.50545804,34.01790172,40.71854614,9.955700916,1,13,103.7380952,20.550497,0.171867593,7028,7284,0,,,0
1558,8.301996941,0.36381104200000003,29.20887954,28.06334199,29.20887954,15.50214424,8,13,104.5,22.23641718,0.152419692,7028,7310,0,,,0
1559,5.984708864,0.160531993,16.0,26.81353656,43.0,16.0,2,13,103.58333329999999,17.70904226,0.19832357899999997,7028,7359,0,,,0
1560,8.047811539,0.16411919,27.84450522,58.72403193,62.65958688,21.23164904,1,20,103.4758324,22.17779957,0.145498887,7046,6884,0,,,0
1561,6.628268529,0.747259514,15.58979206,28.61008355,30.53597026,9.848052921,9,12,103.0893142,21.76083113,0.14749960199999998,7046,7318,0,,,0
1562,9.745567356,0.34690705899999996,49.30500117,40.20068721,49.30500117,20.49616909,1,18,102.90476190000001,23.60117132,0.137373565,7053,7213,0,,,0
1563,5.021406546000001,0.271529721,38.749509499999995,30.52149164,38.749509499999995,13.2989089,5,18,103.0588235,21.94068429,0.166080208,7053,7222,0,,,0
1564,6.97292961,0.25587467399999997,46.72893687,32.09968448,46.72893687,20.12279173,2,15,101.0,19.91315825,0.20628550199999998,7053,7357,0,,,0
1565,4.832071835,0.290925592,27.69257615,27.36493546,39.8134145,11.60038567,3,15,102.63157890000001,22.00664741,0.152019456,7053,7374,0,,,0
1566,8.832093183,0.576682088,28.650079100000003,14.89924798,28.650079100000003,8.0,11,15,102.7833333,23.28000646,0.157884351,7054,7286,0,,,0
1567,10.38235804,0.604322156,11.0,27.37627657,36.91886621,11.0,4,12,104.0143678,21.11386658,0.16141687400000002,7056,7152,0,,,0
1568,8.435442841,0.279484269,28.34314117,36.98097543,41.0,19.86996147,1,17,102.372211,20.11797553,0.17612629100000002,7056,7197,0,,,0
1569,7.988499513,0.25053088,35.30001166,24.06212765,36.98371588,22.01864162,1,10,102.8754789,22.65856084,0.138730128,7056,7303,0,,,0
1570,8.081941455,0.458594202,12.86499526,19.53892886,43.88633239999999,11.72411116,3,16,102.96436779999999,22.41062176,0.150913214,7056,7325,0,,,0
