,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity,diameter,contrast,centID_i,centID_j,Predicted_Label,True_Label
0,13.524519661674859,0.10511571303388516,16.492422502470642,14.580741392992424,17.720045146669353,13.0,20,23.0,286.3802211302211,14.800641405810595,0.17245845185650435,0,1,1,1
1,13.524519661674859,0.10511571303388516,16.492422502470642,14.580741392992424,17.720045146669353,13.0,20,23.0,286.3802211302211,14.800641405810595,0.17245845185650435,1,0,1,1
2,3.0184617127124715,0.053051603786430784,17.11724276862369,15.297058540778355,18.248287590894662,14.560219778561034,4,11.0,272.4938574938575,14.806024678043821,0.16393846897055975,1,139,0,0
3,13.33026372218745,0.3700662747720281,22.612623610099238,17.832512646430892,25.358474486218565,17.832512646430892,21,30.0,324.3613821138212,23.55049175098773,0.0962625991147916,4,30,1,0
4,12.167163506504565,0.35929286371768604,12.384716969500179,27.352959005404855,30.35975047661781,10.527571648761286,23,30.0,381.8415422885572,22.456799202475786,0.10401024502198712,6,30,0,0
5,7.292830362706603,0.34263411443640873,34.85170124251309,12.156175953361494,34.85170124251309,9.3142391360792,38,48.0,375.5457089552239,19.72067712054164,0.15425744661203314,6,64,1,1
6,7.548458597039411,0.4653734812337546,25.091719915721878,31.88737856745553,34.164780026190726,15.503979918186849,18,55.0,361.27487562189054,20.363215811974346,0.14508053071179225,6,72,0,0
7,2.873316560298776,0.09633545126171536,14.669452369807642,13.745350999883664,16.582807271307367,13.607348870327225,12,12.0,329.3998756218905,22.58539703956985,0.08522883732749123,6,154,0,0
8,15.607590079718051,0.4774989567799282,25.86954953186881,29.12819852595953,29.12819852595953,19.22395327702261,15,30.0,366.2055555555555,22.76230343494763,0.11973397365134032,9,30,0,0
9,10.710267728428153,0.4610217161559641,33.561303159803565,27.492323985082287,40.86339391373692,21.05426267830394,2,63.0,352.39869281045753,21.201917494623665,0.12052592910525475,9,35,0,0
10,12.114124340391493,0.3907028014105979,7.1964659757445775,47.91049573191732,47.91049573191732,7.1964659757445775,28,46.0,389.77657004830917,19.25689844171468,0.13921116516066578,9,42,0,0
11,6.951748513124977,0.3842565859874009,36.351958932512936,22.203603311174522,38.59018301871545,12.468798478197849,16,52.0,345.63888888888886,20.668720044446186,0.16080425934114545,9,72,1,1
12,3.0795491404141155,0.2150309160958171,21.044450041541566,19.721387926454586,23.116885767579586,15.682491588264865,16,21.0,312.84722222222223,19.238559090952922,0.10907813006124648,9,125,1,0
