,center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity,diameter,contrast,centID_i,centID_j,Predicted_Label,True_Label
428,12.578222886429494,0.5273657485980394,64.0116066988345,12.865015103200973,69.50549777785025,12.865015103200973,8,26.0,101.36220043572985,22.330891721654886,0.14607353140334367,4100,4058,1,0
429,10.528254520735716,0.4958140250448373,25.608060549344273,23.45478209005547,33.192379708642484,4.103099547806028,8,15.0,101.82592592592592,25.16749011114996,0.12316001682858713,4100,4208,1,0
430,11.046534743945596,0.29484277252360697,30.177438810893946,58.874488345398866,60.32320682244974,20.472345052182625,2,17.0,102.10708534621578,25.28587960608849,0.12437888941663584,4100,4284,0,0
431,9.752693227970127,0.4122316512814879,52.44298677262382,17.74675234032256,65.4748749185944,15.647688195099025,2,16.0,101.5636070853462,24.78805382500108,0.1265914096377742,4100,4313,1,0
432,7.194159977409416,0.5350437454387061,13.444668746478579,46.10727050700122,50.38116323123764,12.236453308207698,4,13.0,101.20925925925926,23.522203951296,0.14387421614141688,4100,4369,0,0
433,4.737155615979559,0.7364628603491916,17.112605263123623,55.83955975017946,67.03010801566349,15.156315924419262,3,10.0,101.85925925925926,25.603822442702953,0.11709882878553105,4100,4381,0,0
434,6.9584715779171695,0.5660555708323964,42.05846123840889,23.190635467259654,55.31227246715915,19.78035380469397,1,10.0,101.03703703703705,22.494364663646344,0.14991854263337345,4100,4412,1,0
435,7.190109868842372,0.4984533378559779,14.195727468088881,43.87153796570993,43.87153796570993,14.195727468088881,4,10.0,100.10300925925928,22.118707341578908,0.1635539401606828,4100,4420,0,0
436,13.170806947096072,0.4544955066743103,27.506937236172657,30.23542601653049,44.04957341409229,19.579706580511672,1,32.0,102.35227272727272,22.876359952619797,0.15098189233157494,4101,3995,0,0
437,9.193416445118377,0.4727980950426143,48.91534409417703,50.115505522010295,59.03388857258178,9.752544367386696,9,32.0,102.58441558441557,23.207532298119744,0.14961152214797818,4101,4115,0,0
438,14.015342764630878,0.6292787231187107,18.96129163640839,15.955826952232227,33.08427940914439,10.0,13,31.0,101.9439393939394,22.93082155154516,0.1524458397610266,4101,4162,1,0
439,10.487306449983873,0.30338082371819314,26.11394323576438,42.05948168962618,45.179693986967436,16.765049251791964,3,27.0,103.32342657342657,23.92308864081853,0.13942525508273285,4101,4226,0,0
440,6.821373164835364,0.17581350527525952,41.07941470532103,19.74115444221864,61.699145439056025,19.74115444221864,1,26.0,101.20804195804196,21.36315478641149,0.16948723420862868,4101,4247,1,0
441,9.298392605494984,0.5593875924773206,45.8016556005373,13.362909762326057,54.01742904117934,12.083901123116146,4,13.0,102.18560606060606,23.27018539128768,0.14043788251218509,4101,4316,0,0
442,4.835922857629534,0.4226880585785701,38.41903475929527,17.758298835378014,44.27547945371539,15.041181140071702,11,21.0,102.75108225108222,24.44773085244443,0.12790732931416213,4101,4383,1,0
443,5.888164098235537,0.5325165295860322,13.06800086166459,13.118123199991588,24.889380486381768,7.1054276973674915,10,11.0,101.6818181818182,23.029230482884984,0.1585992615165459,4101,4485,0,0
444,11.148270851594217,0.3076151631144453,28.913868998863308,42.624544910689394,42.624544910689394,21.57217618260043,1,12.0,101.18560606060606,20.561914722353283,0.17781972993393586,4101,4517,0,0
445,3.987914133051307,0.1849465547201236,14.032343090575955,44.29554693534543,49.67451766107149,12.522896340495464,4,11.0,101.4090909090909,21.799130182462058,0.16855065493799254,4101,4583,0,0
446,9.193416445118377,0.4727980950426143,48.91534409417703,50.115505522010295,59.03388857258178,9.752544367386696,9,32.0,102.58441558441557,23.207532298119744,0.14961152214797818,4115,4101,0,0
447,9.266112549498118,0.5455751101651735,55.379111733536675,63.820059542435395,67.90950457049644,16.994708188026177,2,31.0,102.07380952380952,21.02218929688064,0.16893151154120478,4115,4162,1,0
448,7.0750466402130625,1.0259051941565305,14.446087588531865,13.859203278609044,23.011334321396934,6.568588607646372,13,21.0,102.88095238095238,22.53909859777991,0.14439300109434033,4115,4383,0,0
449,7.209180905209153,0.4002835320291504,21.59041260308808,38.42901488951996,56.47691679245064,17.257529141857745,2,20.0,103.20714285714287,22.78106060048883,0.14418415790570413,4115,4443,0,0
450,8.201653278931394,0.73806827175751,37.962249199326784,31.255149747554196,37.962249199326784,12.169426988876138,5,12.0,101.3154761904762,18.653282467688754,0.19430540171411406,4115,4517,0,0
451,5.325013479298843,0.8437648246317394,12.329085817630745,27.104420917957476,32.50057322195053,12.124282650629786,2,11.0,102.85714285714286,18.355731278029626,0.18971984643320927,4115,4572,0,0
452,8.869669690195312,0.6455002591412937,18.222103590948414,57.48912940721924,64.63745044476924,18.222103590948414,1,29.0,101.24474789915966,20.411182326921704,0.18072347933799046,4122,4068,0,0
453,9.703697959004518,0.18662119717598996,77.3091330132291,23.401796660376352,83.3447876894248,7.7432508057034575,6,24.0,100.89972527472528,18.947655158841506,0.19638777742329044,4122,4235,1,0
454,4.92149420693033,0.4561422321385722,35.26638426727921,13.860260119876829,35.26638426727921,11.088108381142275,6,14.0,101.375,20.82343309091736,0.17520450220063666,4122,4297,1,0
455,7.48610644628688,0.3686721371057816,16.586653442935887,28.20296432708784,28.20296432708784,10.17394718276899,15,17.0,101.14567669172934,20.268513383717046,0.18650940073025327,4122,4424,0,0
456,5.405010590927245,0.09778377924821166,24.37265862851201,28.051305820932363,33.9964295575878,20.24686091707617,1,10.0,103.359126984127,21.813000905468865,0.1633873184351043,4122,4456,0,0
457,3.0515134623856635,0.08189098115537337,10.528530264720294,10.149611922850317,11.611833195377814,9.300096725407421,3,12.0,111.98387096774192,22.21289835392153,0.09241157675759196,4124,4339,0,0
458,1.6785124564384533,0.041992159636257236,18.034249839319386,18.016786156773392,18.034249839319386,16.905176286919787,6,16.0,111.66244239631337,25.792330296044398,0.05353107992265629,4124,4470,0,0
459,16.272946141123906,0.6245858868634199,17.63003216976337,23.192619033858023,28.783046858620033,8.424800630452776,8,30.0,101.84166666666668,20.691016951380693,0.17030188172480154,4162,3995,1,0
460,14.015342764630878,0.6292787231187107,18.96129163640839,15.955826952232227,33.08427940914439,10.0,13,31.0,101.9439393939394,22.93082155154516,0.1524458397610266,4162,4101,1,0
461,9.266112549498118,0.5455751101651735,55.379111733536675,63.820059542435395,67.90950457049644,16.994708188026177,2,31.0,102.07380952380952,21.02218929688064,0.16893151154120478,4162,4115,1,0
