Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,ESTIMATED_DIAMETER,SNR
Cent_1a,286451,5,16.40210342,47.29051793,26.11609234,9.376669443,821.692161,27,7.5,1,-10921639,69.93536435,69,19,167,169873,16.14782989,28.5,28.5,0.294126983
Cent_1a,286152,5,15.99460793,47.43369342,25.85215035,9.43521881,852.125204,28,7.5,1,-10921639,70.60930424,70,22,146,171510,15.59561873,25.45073705,25.45073705,0.310189715
Cent_1a,286654,5,17.52433205,47.71358912,25.9907852,9.3833472,882.558247,29,7.5,1,-10921639,70.65623713,69,25,161,171624,15.96962157,25.44269843,25.44269843,0.331324446
Cent_1a,286556,5,17.09258652,47.44868904,25.50311982,8.982859986,912.99129,30,7.5,1,-10921639,70.15232606,69,24,175,170400,15.83181841,28.5,28.5,0.350552379
Cent_1a,286250,5,16.1261425,47.85570387,25.58620238,9.207484213,943.424333,31,7.5,1,-10921639,69.42033759,69,23,159,168622,15.7580271,25.15844424,25.15844424,0.291668198
Cent_1a,286854,5,15.16839695,47.9840706,25.86370754,9.389820033,973.857376,32,7.5,1,-10921639,70.32688349,70,25,150,170824,15.39170671,19.13225804,19.13225804,0.333464462
Cent_1a,286951,5,15.79948139,48.00794022,25.99279608,9.28170621,1004.290419,33,7.5,1,-10921639,70.14368053,69,23,163,170379,15.62346342,18.08519146,18.08519146,0.35342231
Cent_1a,287146,5,15.70290661,48.48824309,26.04544644,9.395872868,1034.723462,34,7.5,1,-10921639,70.92260189,70,25,137,172271,16.05698575,28.5,28.5,0.39612677
Cent_1a,287050,5,15.1892395,48.80027584,25.41769542,9.607844303,1065.156505,35,7.5,1,-10921639,70.88431453,70,25,148,172178,16.30729025,14.75055389,14.75055389,0.375520509
Cent_1a,287239,5,15.11315346,49.09887258,25.10209636,9.534464372,1095.589548,36,7.5,1,-10921639,71.91519144,71,14,148,174682,16.20506116,28.5,28.5,0.410471142
Cent_1b,284074,16,18.02867126,41.30115509,26.05193948,10.81971702,0,0,7.5,1,-10921639,70.11115685,69,22,165,170300,16.74683067,6.291517961,6.291517961,0.326330923
Cent_1b,283873,16,18.17556953,41.12795671,26.14188072,10.62808777,30.433043,1,7.5,1,-10921639,70.04693289,69,21,172,170144,16.87216508,6.90773445,6.90773445,0.311763076
Cent_1b,283671,16,21.48594284,41.26480467,26.00918051,10.57449801,60.866086,2,7.5,1,-10921639,71.07451626,69,27,225,172640,17.87981007,7.047146226,7.047146226,0.35922152
Cent_1b,283772,16,19.75505638,41.45145217,25.78037364,10.39467063,91.299129,3,7.5,1,-10921639,71.4923837,71,28,172,173655,17.12678169,6.916830183,6.916830183,0.377724118
Cent_1b,284284,16,19.80321312,42.15927301,25.94093644,10.4992372,121.732172,4,7.5,1,-10921639,70.18814327,69,19,197,170487,17.64199884,26.53149285,26.53149285,0.306461176
Cent_1b,284176,16,19.31417847,42.43625059,26.13124474,10.35508156,152.165215,5,7.5,1,-10921639,70.33841087,69,22,173,170852,17.18759545,6.788546446,6.788546446,0.331649807
Cent_1b,283973,16,20.95032501,42.25404941,26.12487526,9.842879498,182.598258,6,7.5,1,-10921639,70.92713051,70,21,202,172282,17.58338691,27.28008771,27.28008771,0.359384948
Cent_1b,283558,16,22.86730385,42.15073286,25.97090933,9.31489386,213.031301,7,7.5,1,-10921639,72.21202141,71,27,201,175403,18.38269064,27.43405375,27.43405375,0.401469819
Cent_1b,284800,16,24.29519081,41.80876107,25.78504666,9.156540769,243.464344,8,7.5,1,-10921639,73.22149033,72,27,194,177855,18.1934828,7.127092743,7.127092743,0.449982539
Cent_1b,284381,16,24.30408669,41.86882036,25.82654284,9.223196707,273.897387,9,7.5,1,-10921639,72.78962536,71,27,199,176806,18.19394303,25.46138812,25.46138812,0.463328565
Cent_1b,284586,16,22.75999832,42.24308463,26.20806564,9.208658281,304.33043,10,7.5,1,-10921639,72.31329765,70,22,186,175649,18.38888198,27.5054372,27.5054372,0.425275158
Cent_1b,284906,16,23.14705086,42.04281802,26.77394405,9.003274203,334.763473,11,7.5,1,-10921639,71.44792096,69,18,195,173547,18.62891614,23.71540653,23.71540653,0.393859748
Cent_1b,284484,16,21.09884834,42.32428532,26.65476177,9.189695587,365.196516,12,7.5,1,-10921639,71.3318238,70,29,184,173265,17.61075274,21.99965211,21.99965211,0.396372403
Cent_1b,284699,16,19.46017265,43.1162926,26.49332992,9.558485953,395.629559,13,7.5,1,-10921639,70.33882256,69,24,171,170853,16.52373547,7.30356406,7.30356406,0.36033958
