center_stdev,normal_stdev,sl_f,sl_i,sl_max,sl_min,t_cong,t_overlap,intensity,diameter,contrast,centID_i,centID_j
5.216453127337846,0.044844842515003466,18.133706560046235,17.90083090654247,18.957957746535875,17.26528791616241,78,78.0,0.14072175804951415,22.41520161163312,0.03228631879227982,0,1
2.7672976192485548,0.11388439469738583,21.61387057788102,36.7339972478149,36.7339972478149,21.61387057788102,1,27.0,0.04156873467896949,24.439252987657266,0.046913735743373264,0,24
4.849602423306449,0.0973963316219051,25.211096825639714,18.61782425034185,25.786155964964447,17.984283897108952,22,78.0,0.16367790053077247,24.28549138242782,0.1172967819292767,0,66
5.216453127337846,0.044844842515003466,18.133706560046235,17.90083090654247,18.957957746535875,17.26528791616241,78,78.0,0.14072175804951415,22.41520161163312,0.03228631879227982,1,0
5.410821094531813,0.10221279770953108,16.743338138131126,21.417910682746893,21.417910682746893,15.555798535563715,48,78.0,0.10854800573109169,23.62254040400593,0.0006611831678128705,1,7
5.06777893326763,0.15407948994630594,14.064814181819282,13.852624857449536,19.725174648228805,11.976647504637825,78,78.0,0.17121573836043957,25.61431251349712,0.027532001290730523,1,63
4.8787183063254504,0.1417435409824752,25.102142258526655,21.38117084540269,25.8297228138933,20.561731641566706,12,78.0,0.16693287595721973,24.90167612941286,0.08469435608054668,1,66
5.578579841418317,0.07595281009801906,20.047008536043357,19.431029589099126,24.305291359173495,17.935608525357488,53,78.0,0.1571679496778784,25.38266598750645,0.0718842836996901,1,71
1.9256311842149778,0.067478506069424,18.35137987409128,14.667328304643565,18.35137987409128,14.667328304643565,4,10.0,0.19492395147970365,24.54015700369616,0.009873947462023205,2,3
1.9256311842149778,0.067478506069424,18.35137987409128,14.667328304643565,18.35137987409128,14.667328304643565,4,10.0,0.19492395147970365,24.54015700369616,0.009873947462023205,3,2
1.962947745730018,0.057559001805729045,19.725624882919206,22.081157744553337,23.069438747110976,19.725624882919206,3,10.0,0.194547820985981,26.155074204813218,0.03267289539445935,3,25
3.774881522354936,0.1796487249099118,10.294040074164503,21.699721757721974,21.699721757721974,10.294040074164503,11,14.0,0.5202751425977237,22.517946897614934,0.06885479251040291,4,11
3.2269556633250542,0.2065013850311309,23.137285506891004,37.88846532699012,37.88846532699012,9.484476717464734,6,22.0,0.544734180431385,24.75918176031138,0.12092485355429955,4,31
7.334389014872837,0.12208971837319813,31.02318355937603,17.218335210217344,35.27039412248448,17.218335210217344,3,30.0,0.3794032324310148,24.83568918702246,0.09038141317257165,4,121
6.054952487238874,0.38622747633961,23.834252784371987,31.07255391036541,33.64051762491214,18.393520201225574,8,26.0,0.3093489279751469,24.5459381257469,0.04227182670957322,4,148
10.645984566061196,0.08700827424103441,18.223228160508068,34.336583399786704,35.94974297275487,18.223228160508068,5,37.0,0.540479504644543,20.288168097130423,0.07265326175785589,5,10
9.776588952648483,0.267638990732079,40.39419702398152,17.62686404597472,40.39419702398152,11.371350867595694,23,37.0,0.5558290026542467,19.662346003065966,0.07490208255264039,5,16
8.127175990003085,0.16916698040552855,13.469365115311717,29.213333422909347,29.213333422909347,10.740521658142672,24,32.0,0.5152587986675816,19.233366995381893,0.05797112365397222,5,17
8.77229449129504,0.19289541569251578,31.79066219167432,39.71463776768566,46.5445570585894,21.489908231715734,1,37.0,0.5367486556177381,22.32003304312805,0.08313729560779098,5,20
4.0520306997816045,0.28905567479479893,18.88700823855765,44.53672482491821,44.53672482491821,18.88700823855765,3,19.0,0.3109466322479775,21.57886764034766,0.15963741942337736,5,34
7.1692589263168705,0.5931700008630693,25.02339146092438,18.6661367108561,26.158575310992436,13.945122510493997,16,37.0,0.5721715739965774,21.60148805520781,0.07556774446024003,5,60
5.492950215232692,0.06862089227512702,15.748038739016442,17.47688574328112,18.197212750820366,13.129052529663177,48,78.0,0.08002414212564712,22.77541510540684,0.019867541022060287,6,7
5.092212845890688,0.10187710628638746,13.810852947506373,18.223544277326358,19.323889987764133,7.609478513751357,78,78.0,0.142691874754995,24.767187214898023,0.046738359144977926,6,63
4.936231803921453,0.12598225460183293,22.347524640052058,26.919031086208882,27.445383475260456,22.034588770336523,2,78.0,0.13840901235177516,24.054550830813767,0.10390071393479405,6,66
5.183828529007496,0.04691549554822237,20.55233948832801,21.020817023772164,23.056205267211713,18.794416368982503,55,58.0,0.07661469211883487,23.020921219969097,0.02896731917476901,6,127
5.410821094531813,0.10221279770953108,16.743338138131126,21.417910682746893,21.417910682746893,15.555798535563715,48,78.0,0.10854800573109169,23.62254040400593,0.0006611831678128705,7,1
5.492950215232692,0.06862089227512702,15.748038739016442,17.47688574328112,18.197212750820366,13.129052529663177,48,78.0,0.08002414212564712,22.77541510540684,0.019867541022060287,7,6
5.175729294113069,0.1304301951822657,10.83513866959697,19.908006876820142,20.161234985193595,8.992110633002763,48,78.0,0.1357870106155703,26.205466558884893,0.028509291514993623,7,63
5.050221147375356,0.25362219225677574,13.903535257041396,15.756940482728405,17.031189723914455,13.20523139311,48,78.0,0.13150414821235024,25.492830174800638,0.08567164630480978,7,66
4.95066790746377,0.14866797746875507,25.241450482327107,19.252166758606954,30.33792422993146,18.96144347471662,13,78.0,0.08833289518789367,24.846583714536514,0.016741098827215528,7,84
5.190402607847705,0.056180862765246586,23.86538487132202,23.534692509090657,25.26922629528318,21.46988512635212,4,58.0,0.06970982797940994,24.459200563955967,0.010738251544784722,7,127
2.0526057737089785,0.1484494699067047,10.675466269212532,13.140769470183162,13.140769470183162,9.124321484150068,12,12.0,0.09247126172091447,23.73834798611099,0.023013726766922676,8,76
