Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,ESTIMATED_DIAMETER,SNR
Cent_1a,284058,5,16.063167572021484,42.78418507214584,28.692420100818687,8.167664761952649,0.0,0,7.5,1,-10921639,67.80197612186085,67.0,20.0,155.0,164691.0,16.107798802281554,28.500000001176407,28.500000001176407,0.2859699546022863
Cent_1a,283862,5,17.50069236755371,42.70517164563941,28.879787431420972,8.057247487023822,1.0,1,7.5,1,-10921639,68.04075751337999,67.0,11.0,154.0,165271.0,16.19332042677041,7.432964835671472,7.432964835671472,0.3201696272656202
Cent_1a,283660,5,16.068532943725586,42.99830920336014,28.91311480089116,8.037742499325192,2.0,2,7.5,1,-10921639,67.60765747221079,66.0,24.0,169.0,164219.0,16.10958019187364,27.037980044977694,27.037980044977694,0.2732920648915868
Cent_1a,283761,5,18.210941314697266,42.91822597492122,28.79425442181666,7.649502450304748,3.0,3,7.5,1,-10921639,68.0559901193907,67.0,21.0,158.0,165308.0,16.75251567505804,7.009428987933377,7.009428987933377,0.3205748120463431
Cent_1a,284268,5,16.324193954467773,43.960932058663786,28.867636248135767,7.8125749464470005,4.0,4,7.5,1,-10921639,67.71552079044875,67.0,17.0,155.0,164481.0,15.634920901377761,6.774749779243056,6.774749779243056,0.3100302584709194
Cent_1a,284162,5,17.57166862487793,44.2828513058453,28.85578708868523,7.689185978621311,5.0,5,7.5,1,-10921639,68.14656237134623,67.0,22.0,182.0,165528.0,16.541767611063698,7.250014584595841,7.250014584595841,0.3132747387549933
Cent_1a,283962,5,19.511220932006836,44.67440932304319,28.91231454343641,7.602909597833955,6.0,6,7.5,1,-10921639,68.75751337999176,67.0,17.0,160.0,167012.0,16.96022305681957,7.2753504987557145,7.2753504987557145,0.3474946900356994
Cent_1a,283553,5,16.15665054321289,45.12149475004794,29.01144040904068,8.018831286821474,7.0,7,7.5,1,-10921639,67.452037875669,67.0,21.0,155.0,163841.0,15.832729202776404,7.357965713863207,7.357965713863207,0.3182835422994909
Cent_1a,284799,5,17.894601821899414,45.038950519354145,28.8525452546126,8.357183246944238,8.0,8,7.5,1,-10921639,68.30588719637711,67.0,25.0,150.0,165915.0,16.20050091021261,7.097365172278109,7.097365172278109,0.3239336379450407
Cent_1a,284377,5,17.845064163208008,45.48309297705425,28.765852331208176,8.22175319930787,9.0,9,7.5,1,-10921639,67.13132976533552,66.0,26.0,162.0,163062.0,16.506589790426535,7.4209346710855595,7.4209346710855595,0.3007506011478994
Cent_1a,284587,5,20.451683044433594,46.25069632533446,28.86069943404127,8.93110094642382,10.0,10,7.5,1,-10921639,68.87484561547961,67.0,18.0,172.0,167297.0,17.097861956127804,6.9487112552186865,6.9487112552186865,0.3552119060021691
Cent_1a,284907,5,19.962751388549805,46.64983636521638,28.654496130932866,9.071465711104919,11.0,11,7.5,1,-10921639,68.85343762865377,67.0,25.0,171.0,167245.0,17.025465757657138,6.955887029068897,6.955887029068897,0.3335631071196544
Cent_1a,284485,5,21.19070816040039,46.788830132887135,28.374309306536357,9.197852388863009,12.0,12,7.5,1,-10921639,70.38904899135447,69.0,21.0,170.0,170975.0,16.99308596563825,7.219365998201476,7.219365998201476,0.3803253191489152
Cent_1a,284700,5,20.329570770263672,47.34038277376449,27.958623324802605,9.295384018268635,13.0,13,7.5,1,-10921639,70.09633594071634,68.0,15.0,176.0,170264.0,17.05052885822275,28.500000001176407,28.500000001176407,0.35325736108768724
Cent_1a,285117,5,18.976097106933594,46.89692180741174,27.914862178820528,9.421917980080309,14.0,14,7.5,1,-10921639,69.81144503911075,69.0,20.0,165.0,169572.0,16.682365994800584,7.244162884802147,7.244162884802147,0.3558892468005315
Cent_1a,285013,5,16.65814971923828,46.60443199409985,27.67686980159762,9.537916114787809,15.0,15,7.5,1,-10921639,69.1708522025525,68.0,15.0,170.0,168016.0,16.13751265841902,28.500000001176407,28.500000001176407,0.2923095150223059
Cent_1a,285328,5,18.988306045532227,47.09353712157982,26.95502717328746,9.597197178971998,16.0,16,7.5,1,-10921639,70.64059283655826,69.0,28.0,186.0,171586.0,16.833216622380277,6.403347111428088,6.403347111428088,0.32902759827818784
Cent_1a,285539,5,19.780078887939453,47.5823456046947,27.55753780793205,8.992337031559343,17.0,17,7.5,1,-10921639,71.07451626183615,70.0,7.0,161.0,172640.0,17.17421528745793,7.00158949422755,7.00158949422755,0.344012567245527
Cent_1a,285226,5,17.77628517150879,47.08102208353556,27.916065622932653,9.87520744172535,18.0,18,7.5,1,-10921639,69.61671469740634,69.0,24.0,155.0,169099.0,16.418238359118767,28.500000001176407,28.500000001176407,0.30824639859998465
Cent_1a,285645,5,16.559844970703125,46.759766192789115,27.365984634507335,9.837339472979359,19.0,19,7.5,1,-10921639,69.59983532317827,68.0,27.0,155.0,169058.0,16.154360425706916,28.500000001176407,28.500000001176407,0.2681985513350593
Cent_1a,285442,5,15.395336151123047,46.72797219798921,27.07250820147292,9.253784840969669,20.0,20,7.5,1,-10921639,70.22190201729107,70.0,24.0,167.0,170569.0,15.89791095780687,25.688784411058336,25.688784411058336,0.2862788301370796
